InspectionID,DeliveryID,InspectorID,InspectionDate,InspectedQuantity,PassedQuantity,FailedQuantity,InspectionScore,InspectionResult
INS000094,DEL000094,EMP0066,2025-12-17,567,567,0,96.57,Pass
INS000095,DEL000095,EMP0160,2024-12-17,474,474,0,96.02,Pass
INS000096,DEL000096,EMP0040,2025-12-04,566,566,0,97.82,Pass
INS000097,DEL000097,EMP0001,2026-08-03,3130,3130,0,99.8,Pass
INS000098,DEL000098,EMP0021,2024-10-04,260,260,0,98.55,Pass
INS000099,DEL000099,EMP0091,2026-06-27,410,405,5,85.51,Minor Issue
INS000100,DEL000100,EMP0184,2025-08-01,788,783,5,88.01,Minor Issue
INS000101,DEL000101,EMP0092,2025-09-30,461,461,0,97.45,Pass
INS000102,DEL000102,EMP0156,2024-10-28,1001,1001,0,96.26,Pass
INS000103,DEL000103,EMP0116,2026-03-12,2420,2420,0,99.41,Pass
INS000104,DEL000104,EMP0077,2025-05-03,1332,1332,0,95.37,Pass
INS000105,DEL000105,EMP0187,2024-07-26,1768,1768,0,96.27,Pass
INS000106,DEL000106,EMP0180,2024-08-25,3937,3937,0,96.98,Pass
INS000107,DEL000107,EMP0198,2025-01-15,2195,2194,1,91.55,Minor Issue
INS000108,DEL000108,EMP0096,2026-05-14,553,553,0,95.13,Pass
INS000109,DEL000109,EMP0014,2024-07-19,4086,4086,0,96.0,Pass
INS000110,DEL000110,EMP0022,2025-08-22,1439,1439,0,99.97,Pass
INS000111,DEL000111,EMP0109,2025-04-03,488,488,0,97.24,Pass
INS000112,DEL000112,EMP0123,2026-01-29,62,62,0,97.9,Pass
INS000113,DEL000113,EMP0109,2024-08-11,909,909,0,97.08,Pass
INS000114,DEL000114,EMP0041,2026-07-24,2766,2765,1,87.15,Minor Issue
INS000115,DEL000115,EMP0110,2026-03-31,2716,2714,2,83.66,Minor Issue
INS000116,DEL000116,EMP0076,2026-05-13,1440,1435,5,81.34,Minor Issue
INS000117,DEL000117,EMP0076,2026-05-03,2096,2094,2,92.73,Minor Issue
INS000118,DEL000118,EMP0014,2026-03-30,1619,1619,0,97.29,Pass
INS000119,DEL000119,EMP0090,2025-09-22,675,674,1,89.29,Minor Issue
INS000120,DEL000120,EMP0136,2026-06-20,2530,2530,0,97.83,Pass
INS000121,DEL000121,EMP0116,2025-11-28,2244,2244,0,95.09,Pass
INS000122,DEL000122,EMP0079,2025-05-20,612,612,0,96.64,Pass
INS000123,DEL000123,EMP0085,2024-10-17,1978,1978,0,96.72,Pass
INS000124,DEL000124,EMP0186,2025-04-12,2351,2351,0,97.53,Pass
INS000125,DEL000125,EMP0092,2026-01-06,1114,1112,2,85.84,Minor Issue
INS000126,DEL000126,EMP0109,2025-11-26,3084,3083,1,89.13,Minor Issue
INS000127,DEL000127,EMP0066,2025-07-08,202,202,0,97.75,Pass
INS000128,DEL000128,EMP0156,2026-04-15,2170,2170,0,97.72,Pass
INS000129,DEL000129,EMP0006,2025-11-23,480,480,0,97.02,Pass
INS000130,DEL000130,EMP0080,2024-10-05,1562,1560,2,86.89,Minor Issue
INS000131,DEL000131,EMP0154,2024-09-17,1293,1293,0,96.05,Pass
INS000132,DEL000132,EMP0027,2025-04-21,2013,2013,0,96.02,Pass
INS000133,DEL000133,EMP0016,2024-10-05,623,623,0,99.65,Pass
INS000134,DEL000134,EMP0055,2024-08-10,418,418,0,95.76,Pass
INS000135,DEL000135,EMP0041,2025-06-16,964,964,0,96.22,Pass
INS000136,DEL000136,EMP0077,2026-06-21,650,648,2,85.96,Minor Issue
INS000137,DEL000137,EMP0142,2025-11-28,88,88,0,97.94,Pass
INS000138,DEL000138,EMP0054,2025-09-01,2395,2395,0,99.42,Pass
INS000139,DEL000139,EMP0014,2025-08-28,1265,1265,0,96.56,Pass
INS000140,DEL000140,EMP0045,2026-01-15,1459,1458,1,87.56,Minor Issue
INS000141,DEL000141,EMP0040,2026-03-03,1606,1601,5,89.61,Minor Issue
INS000142,DEL000142,EMP0198,2025-05-11,105,105,0,97.24,Pass
INS000143,DEL000143,EMP0045,2025-03-12,679,679,0,96.25,Pass
INS000144,DEL000144,EMP0077,2025-06-16,2862,2862,0,95.71,Pass
INS000145,DEL000145,EMP0193,2026-01-20,1357,1357,0,99.77,Pass
INS000146,DEL000146,EMP0055,2024-08-15,2281,2281,0,97.23,Pass
INS000147,DEL000147,EMP0009,2026-05-17,1401,1401,0,95.08,Pass
INS000148,DEL000148,EMP0043,2026-01-27,1136,1136,0,99.65,Pass
INS000149,DEL000149,EMP0046,2025-02-03,138,138,0,97.52,Pass
INS000150,DEL000150,EMP0111,2025-11-07,491,491,0,96.09,Pass
INS000151,DEL000151,EMP0144,2025-10-22,1690,1680,10,80.99,Minor Issue
INS000152,DEL000152,EMP0060,2025-02-18,894,889,5,92.33,Minor Issue
INS000153,DEL000153,EMP0115,2025-12-04,1125,1125,0,99.63,Pass
INS000154,DEL000154,EMP0077,2024-12-02,1826,1826,0,96.29,Pass
INS000155,DEL000155,EMP0085,2026-02-15,564,564,0,98.8,Pass
INS000156,DEL000156,EMP0188,2025-08-25,3640,3635,5,87.93,Minor Issue
INS000157,DEL000157,EMP0174,2025-11-27,300,300,0,96.09,Pass
INS000158,DEL000158,EMP0054,2025-04-10,3109,3109,0,99.55,Pass
INS000159,DEL000159,EMP0116,2025-09-07,2437,2437,0,95.86,Pass
INS000160,DEL000160,EMP0195,2025-01-28,1486,1486,0,96.78,Pass
INS000161,DEL000161,EMP0123,2026-01-08,269,269,0,98.86,Pass
INS000162,DEL000162,EMP0165,2026-05-04,1669,1669,0,95.17,Pass
INS000163,DEL000163,EMP0003,2026-07-27,2503,2503,0,97.89,Pass
INS000164,DEL000164,EMP0006,2025-05-13,3088,3088,0,96.69,Pass
INS000165,DEL000165,EMP0109,2026-07-24,1069,1069,0,95.12,Pass
INS000166,DEL000166,EMP0146,2026-07-08,356,356,0,95.68,Pass
INS000167,DEL000167,EMP0060,2026-06-23,1020,1020,0,95.74,Pass
INS000168,DEL000168,EMP0092,2025-02-09,1215,1215,0,98.05,Pass
INS000169,DEL000169,EMP0028,2026-03-07,1579,1579,0,98.74,Pass
INS000170,DEL000170,EMP0007,2024-12-04,282,282,0,98.27,Pass
INS000171,DEL000171,EMP0003,2026-03-09,973,973,0,95.28,Pass
INS000172,DEL000172,EMP0144,2025-09-28,1068,1068,0,99.04,Pass
INS000173,DEL000173,EMP0011,2026-02-13,3591,3586,5,84.85,Minor Issue
INS000174,DEL000174,EMP0134,2026-04-06,813,813,0,95.75,Pass
INS000175,DEL000175,EMP0180,2025-04-12,2460,2460,0,97.08,Pass
INS000176,DEL000176,EMP0134,2024-12-10,3314,3312,2,85.56,Minor Issue
INS000177,DEL000177,EMP0109,2024-07-18,1528,1528,0,97.39,Pass
INS000178,DEL000178,EMP0044,2025-10-30,1592,1592,0,98.01,Pass
INS000179,DEL000179,EMP0195,2025-05-31,1305,1305,0,96.44,Pass
INS000180,DEL000180,EMP0154,2024-09-14,3333,3333,0,98.21,Pass
INS000181,DEL000181,EMP0076,2024-11-20,977,977,0,95.13,Pass
INS000182,DEL000182,EMP0197,2026-06-10,3166,3166,0,97.91,Pass
INS000183,DEL000183,EMP0154,2025-03-28,3155,3155,0,95.91,Pass
INS000184,DEL000184,EMP0144,2026-05-28,472,472,0,98.8,Pass
INS000185,DEL000185,EMP0107,2025-06-27,115,115,0,96.24,Pass
INS000186,DEL000186,EMP0079,2025-05-25,339,339,0,96.44,Pass
INS000187,DEL000187,EMP0085,2026-02-03,162,142,20,61.76,Fail
INS000188,DEL000188,EMP0092,2024-08-10,164,164,0,96.45,Pass
INS000189,DEL000189,EMP0174,2026-02-24,1472,1470,2,90.43,Minor Issue
INS000190,DEL000190,EMP0163,2026-03-23,2783,2783,0,97.9,Pass
INS000191,DEL000191,EMP0109,2025-10-29,792,790,2,81.92,Minor Issue
INS000192,DEL000192,EMP0111,2024-10-16,339,339,0,97.31,Pass
INS000193,DEL000193,EMP0055,2024-09-20,1842,1842,0,95.3,Pass
INS000194,DEL000194,EMP0022,2025-01-02,1105,1105,0,95.49,Pass
INS000195,DEL000195,EMP0193,2026-02-17,524,524,0,98.8,Pass
INS000196,DEL000196,EMP0010,2025-09-05,2413,2410,3,84.55,Minor Issue
INS000197,DEL000197,EMP0042,2026-07-01,2738,2738,0,96.54,Pass
INS000198,DEL000198,EMP0057,2024-10-26,1562,1561,1,93.46,Minor Issue
INS000199,DEL000199,EMP0187,2025-09-25,960,958,2,82.92,Minor Issue
INS000200,DEL000200,EMP0146,2025-04-25,422,421,1,85.33,Minor Issue
INS000201,DEL000201,EMP0043,2025-12-20,2048,2048,0,95.68,Pass
INS000202,DEL000202,EMP0134,2025-10-09,1513,1511,2,82.2,Minor Issue
INS000203,DEL000203,EMP0184,2025-06-28,374,374,0,98.37,Pass
INS000204,DEL000204,EMP0194,2025-05-11,492,491,1,91.96,Minor Issue
INS000205,DEL000205,EMP0040,2026-03-18,517,497,20,77.38,Fail
INS000206,DEL000206,EMP0160,2024-08-19,863,862,1,91.19,Minor Issue
INS000207,DEL000207,EMP0040,2025-08-08,2144,2124,20,81.49,Minor Issue
INS000208,DEL000208,EMP0110,2025-06-06,2963,2958,5,88.23,Minor Issue
INS000209,DEL000209,EMP0197,2026-05-26,620,620,0,96.34,Pass
INS000210,DEL000210,EMP0186,2024-10-06,2477,2477,0,95.24,Pass
INS000211,DEL000211,EMP0190,2025-12-29,195,194,1,91.75,Minor Issue
INS000212,DEL000212,EMP0040,2024-08-24,837,832,5,80.26,Minor Issue
INS000213,DEL000213,EMP0197,2025-08-28,2685,2685,0,99.2,Pass
INS000214,DEL000214,EMP0046,2025-05-06,3630,3630,0,98.43,Pass
INS000215,DEL000215,EMP0136,2025-11-21,2728,2728,0,96.94,Pass
INS000216,DEL000216,EMP0028,2026-02-02,1153,1153,0,98.83,Pass
INS000217,DEL000217,EMP0054,2025-07-04,2293,2293,0,96.06,Pass
INS000218,DEL000218,EMP0195,2024-09-02,3570,3570,0,96.57,Pass
INS000219,DEL000219,EMP0190,2025-06-14,1145,1145,0,95.2,Pass
INS000220,DEL000220,EMP0051,2024-10-18,446,445,1,80.04,Minor Issue
INS000221,DEL000221,EMP0116,2024-10-20,1178,1176,2,89.95,Minor Issue
INS000222,DEL000222,EMP0115,2026-03-18,2250,2250,0,95.78,Pass
INS000223,DEL000223,EMP0186,2024-08-24,1107,1107,0,99.06,Pass
INS000224,DEL000224,EMP0080,2024-12-16,910,910,0,99.69,Pass
INS000225,DEL000225,EMP0079,2025-05-22,1429,1429,0,96.67,Pass
INS000226,DEL000226,EMP0077,2024-08-12,3187,3187,0,99.18,Pass
INS000227,DEL000227,EMP0142,2025-07-17,2689,2688,1,93.46,Minor Issue
INS000228,DEL000228,EMP0010,2025-08-30,1527,1527,0,99.87,Pass
INS000229,DEL000229,EMP0011,2025-06-11,2328,2328,0,98.45,Pass
INS000230,DEL000230,EMP0110,2026-01-13,1258,1258,0,98.42,Pass
INS000231,DEL000231,EMP0165,2026-01-02,938,938,0,98.19,Pass
INS000232,DEL000232,EMP0060,2025-05-06,1176,1175,1,89.68,Minor Issue
INS000233,DEL000233,EMP0045,2025-02-11,1745,1745,0,98.95,Pass
INS000234,DEL000234,EMP0080,2024-07-22,907,907,0,98.89,Pass
INS000235,DEL000235,EMP0089,2024-10-01,721,721,0,98.23,Pass
INS000236,DEL000236,EMP0134,2025-01-16,967,967,0,95.97,Pass
INS000237,DEL000237,EMP0116,2025-12-18,2072,2072,0,99.42,Pass
INS000238,DEL000238,EMP0096,2025-06-18,2230,2230,0,95.64,Pass
INS000239,DEL000239,EMP0188,2025-01-14,2734,2729,5,81.56,Minor Issue
INS000240,DEL000240,EMP0066,2025-07-02,335,335,0,95.55,Pass
INS000241,DEL000241,EMP0001,2026-04-16,2182,2162,20,86.83,Minor Issue
INS000242,DEL000242,EMP0010,2026-03-13,1303,1303,0,99.34,Pass
INS000243,DEL000243,EMP0136,2026-07-10,2213,2212,1,88.04,Minor Issue
INS000244,DEL000244,EMP0194,2025-07-28,791,791,0,98.99,Pass
INS000245,DEL000245,EMP0163,2025-03-15,153,153,0,96.98,Pass
INS000246,DEL000246,EMP0054,2026-02-26,2227,2227,0,97.05,Pass
INS000247,DEL000247,EMP0188,2025-06-06,1317,1317,0,99.93,Pass
INS000248,DEL000248,EMP0160,2026-06-01,868,868,0,98.22,Pass
INS000249,DEL000249,EMP0109,2025-06-27,1721,1721,0,97.97,Pass
INS000250,DEL000250,EMP0014,2024-09-05,804,803,1,88.62,Minor Issue
INS000251,DEL000251,EMP0146,2025-02-24,1749,1747,2,84.6,Minor Issue
INS000252,DEL000252,EMP0061,2024-12-23,3015,3015,0,96.23,Pass
INS000253,DEL000253,EMP0190,2025-08-18,624,604,20,59.77,Fail
INS000254,DEL000254,EMP0045,2024-08-21,2772,2772,0,95.72,Pass
INS000255,DEL000255,EMP0146,2024-08-13,2149,2147,2,90.19,Minor Issue
INS000256,DEL000256,EMP0014,2026-05-27,493,493,0,99.45,Pass
INS000257,DEL000257,EMP0184,2024-12-05,3173,3173,0,98.92,Pass
INS000258,DEL000258,EMP0187,2026-06-25,593,593,0,98.35,Pass
INS000259,DEL000259,EMP0123,2024-09-06,227,227,0,99.71,Pass
INS000260,DEL000260,EMP0146,2025-02-01,1079,1079,0,97.16,Pass
INS000261,DEL000261,EMP0014,2024-09-28,2398,2396,2,83.14,Minor Issue
INS000262,DEL000262,EMP0043,2025-01-14,2271,2269,2,91.37,Minor Issue
INS000263,DEL000263,EMP0160,2025-12-12,3217,3217,0,97.46,Pass
INS000264,DEL000264,EMP0143,2024-11-30,1281,1281,0,99.17,Pass
INS000265,DEL000265,EMP0043,2024-08-01,1470,1465,5,89.48,Minor Issue
INS000266,DEL000266,EMP0111,2025-06-04,363,363,0,99.73,Pass
INS000267,DEL000267,EMP0010,2026-07-25,2020,2020,0,99.47,Pass
INS000268,DEL000268,EMP0051,2025-10-06,4314,4314,0,97.8,Pass
INS000269,DEL000269,EMP0183,2024-08-18,2408,2408,0,96.17,Pass
INS000270,DEL000270,EMP0180,2024-10-06,271,271,0,99.99,Pass
INS000271,DEL000271,EMP0188,2025-12-06,1994,1994,0,98.97,Pass
INS000272,DEL000272,EMP0041,2026-04-10,155,155,0,99.35,Pass
INS000273,DEL000273,EMP0109,2025-07-24,2085,2085,0,97.94,Pass
INS000274,DEL000274,EMP0170,2025-01-25,1922,1922,0,99.0,Pass
INS000275,DEL000275,EMP0066,2025-03-17,1470,1470,0,95.15,Pass
INS000276,DEL000276,EMP0107,2025-04-29,1296,1295,1,81.19,Minor Issue
INS000277,DEL000277,EMP0014,2025-04-14,2257,2257,0,95.32,Pass
INS000278,DEL000278,EMP0188,2025-07-05,2963,2963,0,98.5,Pass
INS000279,DEL000279,EMP0110,2024-10-29,287,287,0,99.5,Pass
INS000280,DEL000280,EMP0109,2025-06-06,1535,1525,10,81.22,Minor Issue
INS000281,DEL000281,EMP0154,2025-11-24,685,685,0,99.58,Pass
INS000282,DEL000282,EMP0198,2026-02-21,2579,2579,0,98.35,Pass
INS000283,DEL000283,EMP0197,2025-04-18,1887,1887,0,98.18,Pass
INS000284,DEL000284,EMP0193,2026-01-13,1865,1863,2,81.15,Minor Issue
INS000285,DEL000285,EMP0043,2025-02-17,451,451,0,96.13,Pass
INS000286,DEL000286,EMP0010,2026-01-22,614,614,0,98.65,Pass
INS000287,DEL000287,EMP0136,2026-04-06,2425,2425,0,97.43,Pass
INS000288,DEL000288,EMP0022,2025-04-21,3668,3668,0,97.54,Pass
INS000289,DEL000289,EMP0107,2025-03-13,978,978,0,95.61,Pass
INS000290,DEL000290,EMP0080,2025-03-01,2052,2052,0,97.26,Pass
INS000291,DEL000291,EMP0183,2025-04-19,1739,1739,0,97.64,Pass
INS000292,DEL000292,EMP0021,2025-06-11,1182,1182,0,98.3,Pass
INS000293,DEL000293,EMP0170,2026-01-24,2178,2176,2,90.12,Minor Issue
INS000294,DEL000294,EMP0129,2025-06-27,411,406,5,89.17,Minor Issue
INS000295,DEL000295,EMP0174,2025-01-26,4463,4463,0,96.35,Pass
INS000296,DEL000296,EMP0174,2026-06-14,960,960,0,98.92,Pass
INS000297,DEL000297,EMP0193,2024-09-06,1890,1890,0,98.16,Pass
INS000298,DEL000298,EMP0142,2025-06-16,1009,1003,6,93.13,Minor Issue
INS000299,DEL000299,EMP0134,2025-05-07,2487,2487,0,97.54,Pass
INS000300,DEL000300,EMP0112,2025-08-16,2950,2950,0,97.35,Pass
INS000301,DEL000301,EMP0046,2024-09-17,414,414,0,95.12,Pass
INS000302,DEL000302,EMP0111,2026-06-07,2262,2262,0,99.67,Pass
INS000303,DEL000303,EMP0188,2025-05-12,1500,1498,2,89.82,Minor Issue
INS000304,DEL000304,EMP0009,2025-02-11,2060,2060,0,95.25,Pass
INS000305,DEL000305,EMP0129,2025-06-05,1999,1999,0,98.25,Pass
INS000306,DEL000306,EMP0079,2024-10-02,2973,2973,0,95.63,Pass
INS000307,DEL000307,EMP0123,2025-08-26,2166,2166,0,97.64,Pass
INS000308,DEL000308,EMP0066,2026-08-04,2181,2175,6,81.44,Minor Issue
INS000309,DEL000309,EMP0143,2025-11-13,1649,1647,2,84.49,Minor Issue
INS000310,DEL000310,EMP0061,2026-01-30,1222,1222,0,97.88,Pass
INS000311,DEL000311,EMP0010,2025-04-08,453,453,0,98.7,Pass
INS000312,DEL000312,EMP0142,2025-08-15,1307,1307,0,97.13,Pass
INS000313,DEL000313,EMP0007,2026-02-22,2318,2318,0,97.84,Pass
INS000314,DEL000314,EMP0116,2025-03-09,1315,1315,0,95.42,Pass
INS000315,DEL000315,EMP0111,2024-07-28,2005,2005,0,95.69,Pass
INS000316,DEL000316,EMP0001,2024-10-21,492,492,0,97.97,Pass
INS000317,DEL000317,EMP0136,2026-05-20,3009,3009,0,96.6,Pass
INS000318,DEL000318,EMP0111,2024-12-13,2035,2035,0,98.06,Pass
INS000319,DEL000319,EMP0142,2025-05-04,2142,2141,1,81.3,Minor Issue
INS000320,DEL000320,EMP0109,2026-05-03,751,751,0,95.06,Pass
INS000321,DEL000321,EMP0054,2024-08-17,2289,2289,0,96.39,Pass
INS000322,DEL000322,EMP0001,2026-01-20,3286,3286,0,97.01,Pass
INS000323,DEL000323,EMP0134,2025-05-08,1942,1942,0,96.42,Pass
INS000324,DEL000324,EMP0116,2025-01-01,3567,3567,0,99.93,Pass
INS000325,DEL000325,EMP0110,2025-11-21,2287,2287,0,96.43,Pass
INS000326,DEL000326,EMP0165,2025-01-11,2721,2721,0,96.35,Pass
INS000327,DEL000327,EMP0186,2026-01-09,2064,2063,1,80.7,Minor Issue
INS000328,DEL000328,EMP0046,2025-11-25,1767,1767,0,95.15,Pass
INS000329,DEL000329,EMP0110,2024-11-07,1055,1055,0,97.92,Pass
INS000330,DEL000330,EMP0123,2026-01-03,1782,1781,1,82.5,Minor Issue
INS000331,DEL000331,EMP0112,2025-03-05,974,974,0,95.04,Pass
INS000332,DEL000332,EMP0017,2025-03-10,399,399,0,96.34,Pass
INS000333,DEL000333,EMP0194,2026-06-03,1259,1259,0,97.89,Pass
INS000334,DEL000334,EMP0156,2026-06-05,2482,2482,0,97.71,Pass
INS000335,DEL000335,EMP0061,2026-02-16,2810,2809,1,81.72,Minor Issue
INS000336,DEL000336,EMP0134,2026-03-10,106,106,0,97.29,Pass
INS000337,DEL000337,EMP0129,2025-09-12,1356,1356,0,96.9,Pass
INS000338,DEL000338,EMP0156,2025-01-30,3652,3652,0,95.18,Pass
INS000339,DEL000339,EMP0194,2026-07-14,1854,1854,0,97.95,Pass
INS000340,DEL000340,EMP0170,2026-06-07,1458,1458,0,98.61,Pass
INS000341,DEL000341,EMP0109,2026-04-19,2317,2317,0,96.67,Pass
INS000342,DEL000342,EMP0017,2025-07-05,1968,1968,0,95.18,Pass
INS000343,DEL000343,EMP0143,2026-06-17,571,571,0,99.93,Pass
INS000344,DEL000344,EMP0129,2025-05-10,481,481,0,96.7,Pass
INS000345,DEL000345,EMP0096,2026-03-01,1370,1370,0,96.46,Pass
INS000346,DEL000346,EMP0165,2026-01-19,3675,3675,0,98.88,Pass
