InventoryID,PartID,PlantID,CurrentStock,SafetyStock,ReorderLevel,LastUpdated
INV000052,PRT0110,PLT001,2954,1614,1157,2026-06-10
INV000053,PRT0369,PLT003,227,110,97,2026-04-24
INV000054,PRT0442,PLT004,383,309,197,2026-04-18
INV000055,PRT0106,PLT001,3342,1240,950,2026-04-30
INV000056,PRT0612,PLT005,190,283,199,2026-04-18
INV000057,PRT0013,PLT003,3155,1706,1189,2026-06-18
INV000058,PRT0743,PLT005,346,947,678,2026-06-20
INV000059,PRT0586,PLT005,1988,1953,1753,2026-05-13
INV000060,PRT0143,PLT003,347,447,360,2026-04-17
INV000061,PRT0065,PLT002,597,716,487,2026-05-23
INV000062,PRT0496,PLT001,1227,990,675,2026-05-23
INV000063,PRT0739,PLT006,1010,839,566,2026-05-07
INV000064,PRT0469,PLT001,1601,1115,867,2026-05-10
INV000065,PRT0341,PLT005,810,377,260,2026-05-31
INV000066,PRT0451,PLT003,1349,878,738,2026-05-08
INV000067,PRT0667,PLT005,3520,981,828,2026-06-09
INV000068,PRT0971,PLT006,1235,378,260,2026-06-14
INV000069,PRT0988,PLT004,363,511,380,2026-04-02
INV000070,PRT0649,PLT004,2846,753,517,2026-05-08
INV000071,PRT0386,PLT003,2669,1279,1067,2026-04-17
INV000072,PRT0117,PLT005,2990,1772,1480,2026-05-17
INV000073,PRT0185,PLT006,1117,509,395,2026-06-12
INV000074,PRT0473,PLT006,5957,1672,1279,2026-05-24
INV000075,PRT0852,PLT006,1193,529,386,2026-06-24
INV000076,PRT0815,PLT004,814,241,203,2026-06-15
INV000077,PRT0311,PLT002,5188,1478,1108,2026-06-17
INV000078,PRT0809,PLT004,1733,617,492,2026-05-01
INV000079,PRT0491,PLT005,612,251,184,2026-04-04
INV000080,PRT0709,PLT004,3562,920,699,2026-04-18
INV000081,PRT0719,PLT005,2945,1213,741,2026-05-07
INV000082,PRT0112,PLT002,696,1316,1041,2026-05-15
INV000083,PRT0663,PLT005,1362,1446,1155,2026-04-24
INV000084,PRT0694,PLT006,660,190,146,2026-04-11
INV000085,PRT0989,PLT004,1358,918,817,2026-04-25
INV000086,PRT0228,PLT005,529,316,190,2026-04-30
INV000087,PRT0705,PLT005,4755,1629,1230,2026-05-03
INV000088,PRT0475,PLT006,1602,552,405,2026-04-11
INV000089,PRT0354,PLT001,1234,1305,1053,2026-05-25
INV000090,PRT0943,PLT001,3407,1088,686,2026-04-28
INV000091,PRT0357,PLT003,290,337,286,2026-06-16
INV000092,PRT0534,PLT004,847,802,590,2026-06-12
INV000093,PRT0740,PLT006,1794,813,603,2026-04-03
INV000094,PRT0046,PLT006,2459,1026,713,2026-06-18
INV000095,PRT0664,PLT001,702,335,203,2026-06-09
INV000096,PRT0529,PLT002,1998,1486,1248,2026-04-23
INV000097,PRT0437,PLT004,4586,1230,797,2026-04-05
INV000098,PRT0191,PLT006,755,574,481,2026-06-23
INV000099,PRT0756,PLT005,239,1446,1055,2026-06-07
INV000100,PRT0440,PLT004,4851,1908,1257,2026-03-29
INV000101,PRT0286,PLT006,105,109,88,2026-04-20
INV000102,PRT0105,PLT005,4729,1756,1472,2026-06-08
INV000103,PRT0469,PLT001,403,482,342,2026-05-01
INV000104,PRT0541,PLT006,2004,637,510,2026-05-31
INV000105,PRT0402,PLT005,2503,741,577,2026-06-22
INV000106,PRT0633,PLT002,937,333,234,2026-04-04
INV000107,PRT0305,PLT005,6558,1766,1416,2026-05-22
INV000108,PRT0321,PLT001,1097,1308,818,2026-06-24
INV000109,PRT0383,PLT006,749,588,406,2026-06-16
INV000110,PRT0611,PLT002,856,389,293,2026-05-25
INV000111,PRT0499,PLT006,1521,1277,913,2026-06-16
INV000112,PRT0569,PLT002,1419,1200,969,2026-05-31
INV000113,PRT0323,PLT004,1532,1102,756,2026-05-13
INV000114,PRT0975,PLT001,2941,1368,842,2026-05-01
INV000115,PRT0987,PLT005,3145,1092,699,2026-05-28
INV000116,PRT0702,PLT004,3351,1135,903,2026-05-24
INV000117,PRT0501,PLT002,1818,951,773,2026-05-05
INV000118,PRT0300,PLT001,451,269,207,2026-05-17
INV000119,PRT0173,PLT004,1182,662,441,2026-05-15
INV000120,PRT0563,PLT005,4057,1258,1035,2026-05-21
INV000121,PRT0794,PLT005,548,331,255,2026-04-16
INV000122,PRT0843,PLT001,4440,1786,1602,2026-05-08
INV000123,PRT0224,PLT004,4475,1656,1350,2026-06-09
INV000124,PRT0305,PLT001,506,309,253,2026-04-23
INV000125,PRT0837,PLT001,3531,1021,693,2026-06-20
INV000126,PRT0795,PLT002,480,999,858,2026-06-10
INV000127,PRT0882,PLT006,1436,529,446,2026-06-25
INV000128,PRT0631,PLT002,1359,1349,1065,2026-04-27
INV000129,PRT0825,PLT001,1695,1707,1130,2026-06-16
INV000130,PRT0612,PLT005,2302,1267,893,2026-05-21
INV000131,PRT0300,PLT003,1441,444,309,2026-05-26
INV000132,PRT0922,PLT006,4214,1272,865,2026-06-11
INV000133,PRT0805,PLT004,6144,1769,1111,2026-05-21
INV000134,PRT0888,PLT006,2271,1981,1223,2026-03-30
INV000135,PRT0256,PLT002,271,359,290,2026-04-06
INV000136,PRT0780,PLT006,2027,1556,1083,2026-05-13
INV000137,PRT0648,PLT003,2365,904,675,2026-04-17
INV000138,PRT0078,PLT006,3702,1385,1003,2026-05-29
INV000139,PRT0413,PLT005,762,1727,1492,2026-05-20
INV000140,PRT0466,PLT004,3023,1635,1117,2026-03-31
INV000141,PRT0096,PLT006,3001,770,596,2026-06-16
INV000142,PRT0871,PLT001,2934,1038,820,2026-05-26
INV000143,PRT0992,PLT004,1784,1729,1314,2026-05-18
INV000144,PRT0331,PLT003,2199,1789,1187,2026-06-24
INV000145,PRT0580,PLT004,534,791,604,2026-06-03
INV000146,PRT0781,PLT001,5591,1714,1205,2026-05-15
INV000147,PRT0017,PLT001,470,194,122,2026-04-17
INV000148,PRT0001,PLT004,3739,1856,1201,2026-06-21
INV000149,PRT0904,PLT006,540,514,461,2026-05-27
INV000150,PRT0096,PLT006,1122,718,465,2026-06-08
INV000151,PRT0681,PLT006,1523,838,565,2026-05-04
INV000152,PRT0313,PLT006,1281,438,269,2026-04-23
INV000153,PRT0672,PLT001,3516,1532,1266,2026-04-08
INV000154,PRT0489,PLT001,1748,1541,968,2026-06-22
INV000155,PRT0697,PLT004,1063,371,288,2026-05-26
INV000156,PRT0837,PLT001,175,119,71,2026-04-16
INV000157,PRT0490,PLT001,1082,1861,1352,2026-06-23
INV000158,PRT0106,PLT003,419,568,406,2026-05-16
INV000159,PRT0392,PLT002,561,852,736,2026-05-14
INV000160,PRT0071,PLT005,1170,1413,1268,2026-06-01
INV000161,PRT0451,PLT003,1344,1253,754,2026-04-04
INV000162,PRT0156,PLT004,6129,1579,1048,2026-05-27
INV000163,PRT0089,PLT001,1779,1361,1096,2026-05-28
INV000164,PRT0748,PLT004,1207,386,318,2026-04-10
INV000165,PRT0811,PLT002,1288,819,728,2026-05-16
INV000166,PRT0255,PLT005,345,607,414,2026-04-27
INV000167,PRT0292,PLT006,4977,1330,1037,2026-05-09
INV000168,PRT0211,PLT005,308,154,131,2026-06-23
INV000169,PRT0303,PLT006,3209,1342,1010,2026-04-15
INV000170,PRT0978,PLT002,812,211,176,2026-05-12
INV000171,PRT0512,PLT006,1974,1113,796,2026-04-21
INV000172,PRT0370,PLT003,98,1316,817,2026-05-31
INV000173,PRT0431,PLT003,1164,370,264,2026-04-09
INV000174,PRT0978,PLT001,3858,1218,980,2026-05-31
INV000175,PRT0269,PLT002,14,134,104,2026-04-18
INV000176,PRT0519,PLT003,407,181,158,2026-05-27
INV000177,PRT0434,PLT006,3403,1387,1128,2026-04-19
INV000178,PRT0551,PLT005,2197,923,576,2026-04-20
INV000179,PRT0081,PLT005,634,412,281,2026-06-25
INV000180,PRT0160,PLT005,6619,1986,1312,2026-04-15
INV000181,PRT0782,PLT006,2598,769,551,2026-05-16
INV000182,PRT0716,PLT004,2540,1494,1184,2026-05-15
INV000183,PRT0060,PLT002,1954,1594,1412,2026-05-17
INV000184,PRT0465,PLT005,237,276,242,2026-03-30
INV000185,PRT0123,PLT001,1438,1346,829,2026-04-29
INV000186,PRT0168,PLT004,92,1549,993,2026-04-11
INV000187,PRT0843,PLT006,3207,810,613,2026-04-10
INV000188,PRT0768,PLT003,519,630,409,2026-04-21
INV000189,PRT0922,PLT001,6319,1601,1386,2026-05-06
INV000190,PRT0537,PLT001,1114,786,661,2026-04-14
INV000191,PRT0643,PLT001,2361,638,519,2026-06-22
INV000192,PRT0057,PLT004,2950,1116,822,2026-05-21
INV000193,PRT0162,PLT003,3012,1859,1431,2026-06-07
INV000194,PRT0691,PLT006,4701,1683,1061,2026-03-31
INV000195,PRT0003,PLT001,1042,336,224,2026-06-16
INV000196,PRT0048,PLT004,2003,1858,1595,2026-05-28
INV000197,PRT0184,PLT001,614,845,604,2026-05-01
INV000198,PRT0230,PLT003,3435,1232,1036,2026-04-04
INV000199,PRT0278,PLT001,1310,608,440,2026-05-21
INV000200,PRT0690,PLT001,4112,1270,904,2026-04-29
INV000201,PRT0048,PLT004,1056,467,311,2026-04-29
INV000202,PRT0290,PLT003,886,241,208,2026-05-27
INV000203,PRT0009,PLT003,1870,770,481,2026-05-18
INV000204,PRT0312,PLT006,1606,510,350,2026-05-03
INV000205,PRT0606,PLT004,3016,1375,925,2026-04-08
INV000206,PRT0923,PLT005,6000,1682,1400,2026-04-14
INV000207,PRT0007,PLT004,1233,1657,1389,2026-04-10
INV000208,PRT0652,PLT006,354,148,99,2026-05-27
INV000209,PRT0002,PLT006,2744,1896,1143,2026-05-06
INV000210,PRT0315,PLT001,2978,870,743,2026-06-19
INV000211,PRT0430,PLT004,975,520,394,2026-06-21
INV000212,PRT0729,PLT003,145,222,197,2026-06-09
INV000213,PRT0919,PLT005,474,290,177,2026-06-19
INV000214,PRT0470,PLT006,1525,945,765,2026-05-10
INV000215,PRT0137,PLT006,1035,273,211,2026-06-01
INV000216,PRT0582,PLT001,4848,1779,1277,2026-05-24
INV000217,PRT0243,PLT003,535,990,790,2026-05-11
INV000218,PRT0718,PLT006,1609,634,542,2026-06-07
INV000219,PRT0240,PLT001,1113,768,534,2026-05-07
INV000220,PRT0160,PLT001,446,515,330,2026-04-20
INV000221,PRT0417,PLT001,643,436,320,2026-04-27
INV000222,PRT0463,PLT003,1700,1197,846,2026-06-01
INV000223,PRT0093,PLT002,982,1048,712,2026-06-04
INV000224,PRT0722,PLT006,6769,1753,1412,2026-04-02
INV000225,PRT0152,PLT001,2685,1335,817,2026-05-12
INV000226,PRT0406,PLT005,2914,1556,1049,2026-05-21
INV000227,PRT0840,PLT002,266,200,160,2026-04-27
INV000228,PRT0570,PLT006,463,163,144,2026-06-08
INV000229,PRT0105,PLT002,3785,1226,827,2026-04-28
INV000230,PRT0134,PLT002,455,348,210,2026-05-10
INV000231,PRT0646,PLT006,5622,1786,1286,2026-05-06
INV000232,PRT0940,PLT001,530,272,210,2026-05-13
INV000233,PRT0925,PLT006,202,144,129,2026-06-05
INV000234,PRT0927,PLT003,376,1008,849,2026-05-12
INV000235,PRT0052,PLT002,944,350,214,2026-06-18
INV000236,PRT0742,PLT004,6731,1992,1538,2026-05-09
INV000237,PRT0177,PLT003,3495,1116,679,2026-05-27
INV000238,PRT0287,PLT004,1126,539,470,2026-05-10
INV000239,PRT0635,PLT005,5030,1909,1230,2026-05-29
INV000240,PRT0422,PLT005,2043,603,478,2026-05-09
INV000241,PRT0393,PLT002,2291,1081,668,2026-05-16
INV000242,PRT0817,PLT005,3623,958,632,2026-04-11
INV000243,PRT0814,PLT001,2226,610,481,2026-06-09
INV000244,PRT0492,PLT005,1470,883,736,2026-06-14
INV000245,PRT0515,PLT003,4633,1700,1267,2026-04-07
INV000246,PRT0327,PLT005,106,895,609,2026-04-29
INV000247,PRT0060,PLT004,1150,548,333,2026-05-14
INV000248,PRT0998,PLT002,1906,1184,837,2026-06-17
INV000249,PRT0273,PLT005,493,305,205,2026-04-03
INV000250,PRT0058,PLT002,6037,1771,1482,2026-05-08
INV000251,PRT0364,PLT002,3181,1279,1092,2026-06-03
INV000252,PRT0826,PLT006,651,460,308,2026-05-31
INV000253,PRT0029,PLT006,4846,1528,1081,2026-05-16
INV000254,PRT0578,PLT002,4650,1534,1082,2026-04-06
INV000255,PRT0556,PLT003,4032,1253,1108,2026-05-25
INV000256,PRT0058,PLT002,184,459,342,2026-04-05
INV000257,PRT0490,PLT001,4312,1332,886,2026-05-20
INV000258,PRT0826,PLT002,825,779,681,2026-04-30
INV000259,PRT0061,PLT001,1325,797,649,2026-05-11
INV000260,PRT0793,PLT001,290,402,311,2026-06-02
INV000261,PRT0984,PLT001,2989,1833,1389,2026-06-09
INV000262,PRT0406,PLT005,2712,865,701,2026-05-05
INV000263,PRT0140,PLT002,660,306,214,2026-04-28
INV000264,PRT0984,PLT004,5236,1599,1414,2026-05-26
INV000265,PRT0711,PLT005,4603,1429,993,2026-05-07
INV000266,PRT0604,PLT002,5452,1711,1209,2026-04-06
INV000267,PRT0302,PLT002,2820,874,604,2026-06-23
INV000268,PRT0972,PLT005,1437,463,379,2026-03-30
INV000269,PRT0989,PLT005,3157,901,770,2026-05-11
INV000270,PRT0944,PLT005,325,166,108,2026-04-15
INV000271,PRT0960,PLT004,426,552,437,2026-04-04
INV000272,PRT0244,PLT003,159,388,271,2026-06-03
INV000273,PRT0842,PLT006,363,754,490,2026-06-11
INV000274,PRT0458,PLT001,2750,1472,1165,2026-06-10
INV000275,PRT0359,PLT003,277,643,426,2026-06-18
INV000276,PRT0050,PLT004,10,1711,1082,2026-06-06
INV000277,PRT0171,PLT004,3969,997,817,2026-04-30
INV000278,PRT0560,PLT004,2877,1109,958,2026-04-04
INV000279,PRT0667,PLT006,1183,307,260,2026-04-13
INV000280,PRT0819,PLT001,301,561,363,2026-05-29
INV000281,PRT0975,PLT001,1069,703,426,2026-05-22
INV000282,PRT0385,PLT002,909,251,176,2026-05-08
INV000283,PRT0347,PLT005,762,1599,995,2026-04-25
INV000284,PRT0442,PLT006,253,1356,1176,2026-05-20
INV000285,PRT0161,PLT001,889,437,341,2026-06-11
INV000286,PRT0420,PLT006,389,307,214,2026-05-24
INV000287,PRT0272,PLT006,4424,1234,1007,2026-05-18
INV000288,PRT0051,PLT004,392,676,465,2026-05-15
INV000289,PRT0158,PLT001,4021,1270,971,2026-06-21
INV000290,PRT0302,PLT006,358,838,503,2026-04-05
INV000291,PRT0100,PLT001,1635,1380,1076,2026-04-28
INV000292,PRT0084,PLT004,1195,523,340,2026-06-10
INV000293,PRT0408,PLT004,6429,1828,1160,2026-06-02
INV000294,PRT0094,PLT006,2170,1101,956,2026-05-02
INV000295,PRT0907,PLT004,3039,1214,869,2026-04-01
INV000296,PRT0270,PLT004,182,856,561,2026-06-10
INV000297,PRT0578,PLT001,2200,1052,714,2026-05-02
INV000298,PRT0100,PLT001,1366,409,337,2026-05-29
INV000299,PRT0424,PLT005,4435,1468,1032,2026-05-29
INV000300,PRT0839,PLT005,1585,565,432,2026-04-18
INV000301,PRT0888,PLT004,2814,957,851,2026-05-17
INV000302,PRT0307,PLT001,3901,1272,1099,2026-05-26
INV000303,PRT0036,PLT005,2925,908,790,2026-06-21
INV000304,PRT0694,PLT005,4681,1269,1104,2026-06-23
INV000305,PRT0460,PLT002,1550,401,255,2026-04-05
INV000306,PRT0198,PLT002,1655,442,394,2026-06-16
INV000307,PRT0446,PLT002,699,187,135,2026-05-23
INV000308,PRT0610,PLT003,6833,1784,1406,2026-04-02
INV000309,PRT0090,PLT004,274,754,658,2026-05-03
INV000310,PRT0878,PLT003,2671,1239,891,2026-05-30
INV000311,PRT0806,PLT006,101,1164,858,2026-05-21
INV000312,PRT0116,PLT004,3437,1376,1068,2026-04-16
INV000313,PRT0597,PLT001,1204,406,261,2026-06-05
INV000314,PRT0104,PLT003,6386,1994,1259,2026-06-16
INV000315,PRT0899,PLT004,2816,1876,1427,2026-06-24
INV000316,PRT0586,PLT005,1988,640,457,2026-05-26
INV000317,PRT0413,PLT002,2256,1068,652,2026-06-03
INV000318,PRT0040,PLT004,3290,1366,1069,2026-04-21
INV000319,PRT0244,PLT001,5656,1921,1659,2026-04-07
INV000320,PRT0919,PLT003,2200,1627,1208,2026-04-19
INV000321,PRT0319,PLT003,310,141,98,2026-05-01
INV000322,PRT0702,PLT001,5703,1826,1364,2026-05-01
INV000323,PRT0998,PLT006,2461,1879,1255,2026-04-17
INV000324,PRT0276,PLT006,1314,1007,838,2026-04-30
INV000325,PRT0193,PLT004,365,953,744,2026-05-19
INV000326,PRT0759,PLT004,1667,532,464,2026-04-21
INV000327,PRT0841,PLT001,3063,1655,1249,2026-05-05
INV000328,PRT0319,PLT006,537,1155,967,2026-04-23
INV000329,PRT0901,PLT005,4294,1137,819,2026-05-29
INV000330,PRT0858,PLT001,205,159,103,2026-06-20
INV000331,PRT0941,PLT003,207,610,372,2026-05-24
INV000332,PRT0844,PLT004,3017,1543,1017,2026-04-08
INV000333,PRT0698,PLT001,1014,1134,815,2026-06-06
INV000334,PRT0182,PLT004,1827,595,423,2026-06-14
INV000335,PRT0168,PLT003,2820,1301,995,2026-03-29
INV000336,PRT0292,PLT001,740,1633,1386,2026-05-05
INV000337,PRT0586,PLT002,3497,891,547,2026-04-24
INV000338,PRT0694,PLT002,1844,1855,1236,2026-04-23
INV000339,PRT0021,PLT006,2102,651,517,2026-05-27
INV000340,PRT0663,PLT002,67,118,87,2026-04-04
INV000341,PRT0259,PLT005,1833,1331,1118,2026-04-23
INV000342,PRT0991,PLT006,5838,1748,1543,2026-04-05
INV000343,PRT0873,PLT003,3084,1416,966,2026-04-19
INV000344,PRT0310,PLT006,3823,1040,702,2026-05-30
INV000345,PRT0599,PLT001,3253,1166,987,2026-04-29
INV000346,PRT0990,PLT003,339,115,86,2026-04-16
INV000347,PRT0290,PLT003,4989,1249,991,2026-06-16
INV000348,PRT0345,PLT003,522,1501,949,2026-06-19
INV000349,PRT0268,PLT006,2268,1411,984,2026-04-20
INV000350,PRT0306,PLT002,5336,1556,1378,2026-04-11
INV000351,PRT0922,PLT001,492,407,307,2026-05-17
INV000352,PRT0615,PLT004,6635,1749,1499,2026-05-02
INV000353,PRT0739,PLT001,1146,1452,1010,2026-05-25
INV000354,PRT0266,PLT004,2421,1442,1080,2026-05-11
INV000355,PRT0598,PLT006,144,928,664,2026-06-18
INV000356,PRT0744,PLT006,2811,1271,1073,2026-04-22
INV000357,PRT0929,PLT006,1948,555,447,2026-05-22
INV000358,PRT0861,PLT006,696,834,627,2026-06-14
INV000359,PRT0100,PLT004,2406,1895,1454,2026-05-18
INV000360,PRT0782,PLT002,1144,362,297,2026-04-19
INV000361,PRT0092,PLT002,5361,1492,1297,2026-04-02
INV000362,PRT0431,PLT003,1257,827,551,2026-05-25
INV000363,PRT0475,PLT001,1204,861,583,2026-06-17
INV000364,PRT0484,PLT002,583,1063,654,2026-03-31
INV000365,PRT0543,PLT003,3126,1124,714,2026-05-11
INV000366,PRT0155,PLT002,3498,946,582,2026-05-02
INV000367,PRT0584,PLT004,2021,510,358,2026-05-01
INV000368,PRT0185,PLT001,1465,393,273,2026-03-31
INV000369,PRT0321,PLT006,1448,1098,768,2026-06-13
INV000370,PRT0215,PLT002,280,218,131,2026-06-14
INV000371,PRT0805,PLT001,4010,1280,1061,2026-05-25
INV000372,PRT0440,PLT004,1297,365,286,2026-06-08
INV000373,PRT0005,PLT001,1570,978,870,2026-03-30
INV000374,PRT0973,PLT001,3056,1193,787,2026-04-18
INV000375,PRT0544,PLT002,6825,1926,1341,2026-05-25
INV000376,PRT0232,PLT006,254,136,109,2026-05-27
INV000377,PRT0106,PLT004,1056,1896,1333,2026-05-11
INV000378,PRT0067,PLT001,1368,1130,877,2026-06-25
INV000379,PRT0746,PLT005,1867,710,628,2026-05-25
INV000380,PRT0910,PLT006,3552,1321,1000,2026-06-25
INV000381,PRT0368,PLT002,1003,374,262,2026-04-06
INV000382,PRT0414,PLT001,1662,437,386,2026-06-19
INV000383,PRT0217,PLT006,537,567,378,2026-04-14
INV000384,PRT0127,PLT003,173,144,111,2026-04-07
INV000385,PRT0385,PLT006,306,1556,1237,2026-04-27
INV000386,PRT0609,PLT001,199,623,517,2026-05-25
INV000387,PRT0050,PLT006,161,1455,920,2026-05-11
INV000388,PRT0127,PLT005,778,337,244,2026-05-09
INV000389,PRT0211,PLT006,627,617,458,2026-05-19
INV000390,PRT0431,PLT006,2466,1504,1186,2026-05-30
INV000391,PRT0638,PLT005,552,306,244,2026-06-07
INV000392,PRT0524,PLT006,859,1535,984,2026-06-14
INV000393,PRT0804,PLT001,933,1365,867,2026-05-08
INV000394,PRT0797,PLT003,1636,1119,738,2026-04-04
INV000395,PRT0367,PLT006,1652,1802,1364,2026-06-16
INV000396,PRT0562,PLT004,161,939,646,2026-06-01
INV000397,PRT0493,PLT003,7644,1964,1300,2026-04-30
INV000398,PRT0929,PLT001,364,580,348,2026-06-21
INV000399,PRT0153,PLT001,4047,1810,1397,2026-04-24
INV000400,PRT0741,PLT001,5927,1696,1277,2026-04-17
INV000401,PRT0468,PLT003,1893,1952,1321,2026-05-21
INV000402,PRT0833,PLT002,408,640,473,2026-05-02
INV000403,PRT0369,PLT006,2380,1890,1156,2026-05-09
INV000404,PRT0098,PLT001,474,740,538,2026-06-18
INV000405,PRT0663,PLT002,339,119,101,2026-06-22
INV000406,PRT0979,PLT005,1792,773,546,2026-04-14
INV000407,PRT0382,PLT003,380,649,560,2026-05-04
INV000408,PRT0986,PLT004,819,474,300,2026-04-12
INV000409,PRT0820,PLT004,1958,656,558,2026-05-30
INV000410,PRT0116,PLT002,1366,1428,1236,2026-06-15
INV000411,PRT0107,PLT004,1305,1525,1247,2026-04-22
INV000412,PRT0583,PLT006,6572,1966,1528,2026-04-18
INV000413,PRT0798,PLT003,1555,997,652,2026-04-29
INV000414,PRT0495,PLT004,1070,1352,822,2026-04-14
INV000415,PRT0048,PLT001,902,331,286,2026-06-10
INV000416,PRT0722,PLT006,50,635,505,2026-04-05
INV000417,PRT0230,PLT006,4628,1174,974,2026-06-12
INV000418,PRT0705,PLT006,4285,1888,1324,2026-04-25
INV000419,PRT0745,PLT002,5420,1366,858,2026-04-27
INV000420,PRT0153,PLT005,3152,1086,764,2026-04-13
INV000421,PRT0012,PLT006,447,1926,1726,2026-04-02
INV000422,PRT0873,PLT004,961,421,316,2026-06-05
INV000423,PRT0504,PLT003,6155,1880,1221,2026-05-03
INV000424,PRT0052,PLT005,1139,593,414,2026-05-31
INV000425,PRT0413,PLT002,1550,556,425,2026-05-21
INV000426,PRT0091,PLT004,917,261,192,2026-05-22
INV000427,PRT0510,PLT006,4016,1015,705,2026-05-11
INV000428,PRT0423,PLT001,3304,1438,870,2026-04-07
INV000429,PRT0811,PLT005,744,1241,949,2026-05-21
INV000430,PRT0576,PLT002,4164,1367,1081,2026-06-07
INV000431,PRT0373,PLT001,2792,1440,1154,2026-03-31
INV000432,PRT0340,PLT005,3722,1772,1181,2026-06-10
INV000433,PRT0734,PLT006,3875,1671,1313,2026-06-11
INV000434,PRT0100,PLT006,467,844,687,2026-05-30
INV000435,PRT0850,PLT006,1454,554,332,2026-05-28
INV000436,PRT0383,PLT006,4276,1738,1195,2026-05-27
INV000437,PRT0505,PLT002,336,317,194,2026-06-07
INV000438,PRT0420,PLT001,5911,1783,1453,2026-05-25
INV000439,PRT0124,PLT004,768,620,485,2026-05-01
INV000440,PRT0734,PLT003,780,541,398,2026-04-23
INV000441,PRT0949,PLT006,95,320,264,2026-04-04
INV000442,PRT0791,PLT004,1009,1815,1454,2026-04-18
INV000443,PRT0138,PLT004,4130,1036,826,2026-04-25
INV000444,PRT0567,PLT004,24,108,81,2026-06-14
INV000445,PRT0800,PLT002,4164,1817,1409,2026-03-30
INV000446,PRT0835,PLT002,5984,1516,1172,2026-06-06
INV000447,PRT0621,PLT003,1229,312,223,2026-05-01
INV000448,PRT0624,PLT006,3429,1132,978,2026-06-16
INV000449,PRT0987,PLT003,3259,1661,1120,2026-04-08
INV000450,PRT0142,PLT004,546,702,516,2026-05-04
INV000451,PRT0307,PLT006,4196,1333,1079,2026-04-29
INV000452,PRT0648,PLT002,4534,1221,1047,2026-05-03
INV000453,PRT0298,PLT006,1463,511,338,2026-05-01
INV000454,PRT0728,PLT006,543,807,707,2026-05-10
INV000455,PRT0653,PLT003,1421,464,348,2026-04-02
INV000456,PRT0576,PLT004,2885,1554,986,2026-04-11
