POLineID,PO_ID,PartID,OrderedQuantity,UnitCost,LineTotal
POL000111,PO015216,PRT0248,1457,19.64,28615.48
POL000112,PO016993,PRT0108,4754,38.08,181032.32
POL000113,PO015196,PRT0905,3054,38.59,117853.86
POL000114,PO001049,PRT0466,4070,27.75,112942.5
POL000115,PO004926,PRT0076,4175,63.91,266824.25
POL000116,PO018238,PRT0636,201,8.81,1770.81
POL000117,PO014119,PRT0430,2918,22.99,67084.82
POL000118,PO001832,PRT0680,2788,91.58,255325.04
POL000119,PO013949,PRT0371,3084,166.2,512560.8
POL000120,PO007647,PRT0287,238,29.33,6980.54
POL000121,PO001645,PRT0818,1279,67.47,86294.13
POL000122,PO014269,PRT0700,4089,28.56,116781.84
POL000123,PO002707,PRT0422,612,282.76,173049.12
POL000124,PO014897,PRT0139,3796,63.49,241008.04
POL000125,PO014582,PRT0326,1967,44.85,88219.95
POL000126,PO018556,PRT0952,2761,43.89,121180.29
POL000127,PO008490,PRT0899,1770,318.66,564028.2
POL000128,PO003068,PRT0716,3554,80.05,284497.7
POL000129,PO003080,PRT0857,652,17.02,11097.04
POL000130,PO017691,PRT0417,4887,114.54,559756.98
POL000131,PO016947,PRT0114,2335,900.12,2101780.2
POL000132,PO005642,PRT0668,996,110.3,109858.8
POL000133,PO016615,PRT0379,4772,551.02,2629467.44
POL000134,PO005907,PRT0581,2028,43.41,88035.48
POL000135,PO001690,PRT0958,254,180.05,45732.7
POL000136,PO009669,PRT0693,2298,13.95,32057.1
POL000137,PO019866,PRT0149,1334,50.28,67073.52
POL000138,PO019065,PRT0273,3430,83.98,288051.4
POL000139,PO018072,PRT0640,3885,50.76,197202.6
POL000140,PO013141,PRT0645,885,86.22,76304.7
POL000141,PO013359,PRT0842,3417,56.82,194153.94
POL000142,PO004085,PRT0120,4436,60.43,268067.48
POL000143,PO012195,PRT0475,347,123.47,42844.09
POL000144,PO001621,PRT0096,216,31.05,6706.8
POL000145,PO018794,PRT0161,540,15.18,8197.2
POL000146,PO015572,PRT0237,3679,6.55,24097.45
POL000147,PO018074,PRT0937,3627,33.05,119872.35
POL000148,PO013162,PRT0330,2991,185.41,554561.31
POL000149,PO015511,PRT0913,994,40.43,40187.42
POL000150,PO019937,PRT0345,2764,68.92,190494.88
POL000151,PO015812,PRT0170,4694,18.12,85055.28
POL000152,PO001404,PRT0196,2223,132.28,294058.44
POL000153,PO002268,PRT0669,1931,3.97,7666.07
POL000154,PO017905,PRT0429,2618,300.98,787965.64
POL000155,PO002354,PRT0476,3201,106.12,339690.12
POL000156,PO016270,PRT0695,1934,53.22,102927.48
POL000157,PO015646,PRT0153,4023,19.22,77322.06
POL000158,PO005581,PRT0353,4878,65.77,320826.06
POL000159,PO000932,PRT0408,1617,29.55,47782.35
POL000160,PO011282,PRT0628,1844,29.95,55227.8
POL000161,PO003965,PRT0161,1010,15.18,15331.8
POL000162,PO011792,PRT0077,431,35.5,15300.5
POL000163,PO000994,PRT0621,4952,17.6,87155.2
POL000164,PO019783,PRT0111,1480,7.13,10552.4
POL000165,PO019326,PRT0540,1538,20.87,32098.06
POL000166,PO008958,PRT0536,3593,72.8,261570.4
POL000167,PO003080,PRT0224,732,9.11,6668.52
POL000168,PO003177,PRT0001,1606,134.74,216392.44
POL000169,PO010693,PRT0931,4308,21.24,91501.92
POL000170,PO000861,PRT0466,3860,27.75,107115.0
POL000171,PO002803,PRT0059,4882,43.16,210707.12
POL000172,PO003023,PRT0171,524,16.25,8515.0
POL000173,PO008316,PRT0736,2847,108.13,307846.11
POL000174,PO019018,PRT0236,4239,54.99,233102.61
POL000175,PO015590,PRT0623,2998,149.25,447451.5
POL000176,PO019967,PRT0935,3135,47.09,147627.15
POL000177,PO007399,PRT0535,2528,19.66,49700.48
POL000178,PO010559,PRT0256,2718,22.48,61100.64
POL000179,PO009031,PRT0883,3252,22.39,72812.28
POL000180,PO017919,PRT0951,979,94.44,92456.76
POL000181,PO013676,PRT0394,1467,390.73,573200.91
POL000182,PO006298,PRT0913,437,40.43,17667.91
POL000183,PO000297,PRT0196,3684,132.28,487319.52
POL000184,PO007638,PRT0401,1660,9.25,15355.0
POL000185,PO015256,PRT0799,2868,128.94,369799.92
POL000186,PO015677,PRT0955,343,142.97,49038.71
POL000187,PO016979,PRT0072,2763,394.78,1090777.14
POL000188,PO002089,PRT0712,4458,134.87,601250.46
POL000189,PO000403,PRT0964,3780,58.39,220714.2
POL000190,PO016221,PRT0900,4480,76.54,342899.2
POL000191,PO007417,PRT0220,3546,35.36,125386.56
POL000192,PO017251,PRT0190,3412,30.12,102769.44
POL000193,PO002091,PRT0298,2530,42.34,107120.2
POL000194,PO012994,PRT0271,2961,104.9,310608.9
POL000195,PO011941,PRT0459,2921,21.27,62129.67
POL000196,PO007280,PRT0069,554,44.23,24503.42
POL000197,PO001440,PRT0957,1163,104.18,121161.34
POL000198,PO013442,PRT0887,3555,52.83,187810.65
POL000199,PO018308,PRT0624,3682,97.16,357743.12
POL000200,PO010153,PRT0869,1546,56.08,86699.68
POL000201,PO015546,PRT0327,3691,393.83,1453626.53
POL000202,PO002321,PRT0280,4337,24.33,105519.21
POL000203,PO019509,PRT0986,564,13.11,7394.04
POL000204,PO005765,PRT0382,2914,75.12,218899.68
POL000205,PO004307,PRT0635,850,14.74,12529.0
POL000206,PO013286,PRT0354,1710,29.14,49829.4
POL000207,PO019956,PRT0840,4109,27.91,114682.19
POL000208,PO018596,PRT0257,2307,281.61,649674.27
POL000209,PO014794,PRT0258,129,80.64,10402.56
POL000210,PO002154,PRT0683,2784,21.77,60607.68
POL000211,PO018066,PRT0663,3432,32.26,110716.32
POL000212,PO013667,PRT0539,2364,74.07,175101.48
POL000213,PO018929,PRT0836,1456,39.94,58152.64
POL000214,PO014570,PRT0822,1358,102.26,138869.08
POL000215,PO011820,PRT0263,2761,2.48,6847.28
POL000216,PO005546,PRT0893,4389,263.05,1154526.45
POL000217,PO006203,PRT0860,1270,54.95,69786.5
POL000218,PO008991,PRT0030,1182,26.22,30992.04
POL000219,PO006171,PRT0034,4321,51.88,224173.48
POL000220,PO019129,PRT0927,648,21.18,13724.64
POL000221,PO004469,PRT0166,4805,157.3,755826.5
POL000222,PO009244,PRT0200,3654,38.54,140825.16
POL000223,PO003447,PRT0994,2613,40.73,106427.49
POL000224,PO001188,PRT0110,440,31.2,13728.0
POL000225,PO004868,PRT0859,2072,86.95,180160.4
POL000226,PO018730,PRT0306,1001,36.37,36406.37
POL000227,PO010113,PRT0679,1118,70.0,78260.0
POL000228,PO019313,PRT0058,555,25.86,14352.3
POL000229,PO018628,PRT0310,381,28.17,10732.77
POL000230,PO003984,PRT0453,4005,15.05,60275.25
POL000231,PO008527,PRT0639,849,11.8,10018.2
POL000232,PO018590,PRT0180,4223,1122.14,4738797.22
POL000233,PO006640,PRT0144,2472,38.39,94900.08
POL000234,PO018556,PRT0379,843,551.02,464509.86
POL000235,PO003665,PRT0007,4887,455.2,2224562.4
POL000236,PO013984,PRT0908,3748,220.56,826658.88
POL000237,PO001011,PRT0700,1501,28.56,42868.56
POL000238,PO009704,PRT0638,573,100.04,57322.92
POL000239,PO002401,PRT0771,3442,58.33,200771.86
POL000240,PO018932,PRT0884,1878,276.97,520149.66
POL000241,PO009783,PRT0739,3795,125.51,476310.45
POL000242,PO018262,PRT0786,3760,314.14,1181166.4
POL000243,PO015181,PRT0425,1221,55.5,67765.5
POL000244,PO019925,PRT0979,3917,9.33,36545.61
POL000245,PO008944,PRT0764,3238,30.67,99309.46
POL000246,PO014449,PRT0622,1761,48.29,85038.69
POL000247,PO000065,PRT0712,3833,134.87,516956.71
POL000248,PO004814,PRT0121,4028,62.35,251145.8
POL000249,PO018173,PRT0180,650,1122.14,729391.0
POL000250,PO019200,PRT0718,1166,37.35,43550.1
POL000251,PO015852,PRT0619,278,48.66,13527.48
POL000252,PO001821,PRT0415,4252,43.2,183686.4
POL000253,PO008289,PRT0973,3273,64.88,212352.24
POL000254,PO009522,PRT0182,4415,16.68,73642.2
POL000255,PO016371,PRT0973,2081,64.88,135015.28
POL000256,PO009865,PRT0375,3671,782.29,2871786.59
POL000257,PO012683,PRT0196,3042,132.28,402395.76
POL000258,PO016808,PRT0873,3810,10.99,41871.9
POL000259,PO006321,PRT0100,765,27.45,20999.25
POL000260,PO002800,PRT0892,1812,49.69,90038.28
POL000261,PO011987,PRT0296,1527,19.02,29043.54
POL000262,PO010273,PRT0576,3184,5.65,17989.6
POL000263,PO015394,PRT0281,2669,36.26,96777.94
POL000264,PO013362,PRT0813,2432,105.38,256284.16
POL000265,PO010234,PRT0230,1032,57.04,58865.28
POL000266,PO006735,PRT0168,4444,439.94,1955093.36
POL000267,PO003619,PRT0895,3110,338.5,1052735.0
POL000268,PO012656,PRT0080,1712,6.75,11556.0
POL000269,PO013761,PRT0513,1570,122.7,192639.0
POL000270,PO007186,PRT0900,1979,76.54,151472.66
POL000271,PO004761,PRT0638,330,100.04,33013.2
POL000272,PO009563,PRT0441,81,45.03,3647.43
POL000273,PO016955,PRT0995,2449,14.86,36392.14
POL000274,PO012655,PRT0700,3671,28.56,104843.76
POL000275,PO009746,PRT0035,3901,220.25,859195.25
POL000276,PO004368,PRT0295,4380,44.06,192982.8
POL000277,PO001503,PRT0777,940,39.45,37083.0
POL000278,PO016835,PRT0490,4008,67.04,268696.32
POL000279,PO003354,PRT0801,4048,70.15,283967.2
POL000280,PO019823,PRT0941,231,11.89,2746.59
POL000281,PO017719,PRT0818,2131,67.47,143778.57
POL000282,PO018251,PRT0084,2660,21.88,58200.8
POL000283,PO005234,PRT0502,3750,305.43,1145362.5
POL000284,PO003473,PRT0075,2990,4.07,12169.3
POL000285,PO005313,PRT0506,2684,92.45,248135.8
POL000286,PO000462,PRT0477,1724,52.52,90544.48
POL000287,PO013948,PRT0085,2006,55.71,111754.26
POL000288,PO006139,PRT0037,2538,39.14,99337.32
POL000289,PO001857,PRT0820,3308,210.35,695837.8
POL000290,PO008190,PRT0794,1383,11.92,16485.36
POL000291,PO005596,PRT0199,3222,131.11,422436.42
POL000292,PO005633,PRT0659,4198,38.8,162882.4
POL000293,PO003131,PRT0658,4813,32.48,156326.24
POL000294,PO014956,PRT0577,701,180.24,126348.24
POL000295,PO003422,PRT0809,722,90.43,65290.46
POL000296,PO006952,PRT0027,3939,13.19,51955.41
POL000297,PO007505,PRT0431,3224,12.85,41428.4
POL000298,PO002951,PRT0818,4961,67.47,334718.67
POL000299,PO013269,PRT0469,948,21.66,20533.68
POL000300,PO018953,PRT0451,4881,31.5,153751.5
POL000301,PO014143,PRT0806,4915,25.86,127101.9
POL000302,PO014364,PRT0537,600,16.64,9984.0
POL000303,PO012477,PRT0178,3336,105.94,353415.84
POL000304,PO012441,PRT0502,824,305.43,251674.32
POL000305,PO008875,PRT0066,3601,98.0,352898.0
POL000306,PO017881,PRT0178,3384,105.94,358500.96
POL000307,PO011914,PRT0595,4088,304.52,1244877.76
POL000308,PO001345,PRT0056,3696,69.76,257832.96
POL000309,PO007052,PRT0955,1373,142.97,196297.81
POL000310,PO003637,PRT0830,1180,101.41,119663.8
POL000311,PO014813,PRT0075,1201,4.07,4888.07
POL000312,PO002792,PRT0832,2952,40.52,119615.04
POL000313,PO004042,PRT0792,3688,39.1,144200.8
POL000314,PO000624,PRT0622,3352,48.29,161868.08
POL000315,PO005037,PRT0470,1843,70.85,130576.55
POL000316,PO003581,PRT0815,3562,75.6,269287.2
POL000317,PO015561,PRT0209,2120,50.0,106000.0
POL000318,PO018595,PRT0636,1276,8.81,11241.56
POL000319,PO018159,PRT0859,2170,86.95,188681.5
POL000320,PO004736,PRT0442,4049,32.26,130620.74
POL000321,PO017026,PRT0425,805,55.5,44677.5
POL000322,PO014664,PRT0513,2341,122.7,287240.7
POL000323,PO000307,PRT0332,2509,16.15,40520.35
POL000324,PO017757,PRT0357,975,32.63,31814.25
POL000325,PO004196,PRT0018,3390,167.04,566265.6
POL000326,PO003470,PRT0130,3142,87.96,276370.32
POL000327,PO016790,PRT0837,3951,114.48,452310.48
POL000328,PO008158,PRT0482,153,58.75,8988.75
POL000329,PO003487,PRT0277,2230,157.88,352072.4
POL000330,PO016457,PRT0468,4015,60.7,243710.5
POL000331,PO003318,PRT0930,3056,31.42,96019.52
POL000332,PO017248,PRT0664,1078,77.84,83911.52
POL000333,PO016144,PRT0569,853,25.43,21691.79
POL000334,PO004761,PRT0704,2978,10.73,31953.94
POL000335,PO019527,PRT0519,1964,88.22,173264.08
POL000336,PO007042,PRT0736,4665,108.13,504426.45
POL000337,PO018442,PRT0079,4890,35.64,174279.6
POL000338,PO016106,PRT0909,4786,218.96,1047942.56
POL000339,PO007010,PRT0430,4158,22.99,95592.42
POL000340,PO013782,PRT0928,2228,216.95,483364.6
POL000341,PO005203,PRT0121,2639,62.35,164541.65
POL000342,PO002218,PRT0083,1144,108.02,123574.88
POL000343,PO012807,PRT0069,106,44.23,4688.38
POL000344,PO019259,PRT0750,592,10.75,6364.0
POL000345,PO004425,PRT0541,1286,64.62,83101.32
POL000346,PO015703,PRT0499,2632,16.44,43270.08
POL000347,PO012372,PRT0675,2928,35.65,104383.2
POL000348,PO006263,PRT0622,4693,48.29,226624.97
POL000349,PO018365,PRT0720,1793,103.45,185485.85
POL000350,PO016086,PRT0439,3876,18.94,73411.44
POL000351,PO007481,PRT0961,1334,55.38,73876.92
POL000352,PO013814,PRT0773,2565,54.92,140869.8
POL000353,PO005308,PRT0447,3450,44.4,153180.0
POL000354,PO014752,PRT0454,1784,203.47,362990.48
POL000355,PO000909,PRT0090,2197,136.9,300769.3
POL000356,PO004357,PRT0840,1705,27.91,47586.55
POL000357,PO011151,PRT0675,1170,35.65,41710.5
POL000358,PO015919,PRT0692,2243,219.03,491284.29
POL000359,PO007844,PRT0290,356,20.12,7162.72
POL000360,PO014999,PRT0075,3376,4.07,13740.32
POL000361,PO004647,PRT0786,4025,314.14,1264413.5
POL000362,PO013136,PRT0447,2175,44.4,96570.0
POL000363,PO015756,PRT0542,2569,13.41,34450.29
POL000364,PO017097,PRT0445,280,11.66,3264.8
POL000365,PO010334,PRT0394,2105,390.73,822486.65
POL000366,PO003858,PRT0235,702,882.01,619171.02
POL000367,PO000765,PRT0411,3341,225.42,753128.22
POL000368,PO012890,PRT0934,413,22.9,9457.7
POL000369,PO005030,PRT0628,4113,29.95,123184.35
POL000370,PO004704,PRT0631,2537,8.55,21691.35
POL000371,PO010930,PRT0121,1707,62.35,106431.45
POL000372,PO011624,PRT0892,3414,49.69,169641.66
POL000373,PO000210,PRT0616,4899,36.72,179891.28
POL000374,PO001708,PRT0078,2183,26.07,56910.81
POL000375,PO017051,PRT0015,3345,41.59,139118.55
POL000376,PO018171,PRT0074,529,115.78,61247.62
POL000377,PO014062,PRT0642,2824,125.87,355456.88
POL000378,PO019453,PRT0853,3035,19.89,60366.15
POL000379,PO000042,PRT0985,1721,33.02,56827.42
POL000380,PO013084,PRT0858,1831,48.29,88418.99
POL000381,PO004822,PRT0441,1455,45.03,65518.65
POL000382,PO007431,PRT0487,2690,19.74,53100.6
POL000383,PO000710,PRT0344,2457,22.07,54225.99
POL000384,PO006867,PRT0158,1564,48.38,75666.32
POL000385,PO013742,PRT0011,1347,60.78,81870.66
POL000386,PO015786,PRT0574,2295,27.79,63778.05
POL000387,PO012750,PRT0967,1543,55.98,86377.14
POL000388,PO009282,PRT0879,505,85.48,43167.4
POL000389,PO012306,PRT0923,4282,155.31,665037.42
POL000390,PO006706,PRT0975,3752,23.17,86933.84
POL000391,PO011006,PRT0610,2170,109.6,237832.0
POL000392,PO011683,PRT0538,4009,24.35,97619.15
POL000393,PO001783,PRT0817,1231,41.0,50471.0
POL000394,PO007001,PRT0770,199,662.93,131923.07
POL000395,PO015436,PRT0654,583,58.1,33872.3
POL000396,PO001412,PRT0768,2739,317.07,868454.73
POL000397,PO012352,PRT0314,389,63.49,24697.61
POL000398,PO000734,PRT0423,3737,117.43,438835.91
POL000399,PO010011,PRT0109,3103,103.28,320477.84
POL000400,PO017196,PRT0395,4106,292.48,1200922.88
POL000401,PO010428,PRT0690,1124,47.25,53109.0
POL000402,PO009402,PRT0743,235,20.09,4721.15
POL000403,PO017592,PRT0508,2288,16.59,37957.92
POL000404,PO003263,PRT0324,3079,176.6,543751.4
POL000405,PO000556,PRT0465,2769,30.27,83817.63
POL000406,PO016118,PRT0996,3447,26.45,91173.15
POL000407,PO008478,PRT0314,4784,63.49,303736.16
POL000408,PO012328,PRT0642,2078,125.87,261557.86
POL000409,PO018753,PRT0188,835,131.72,109986.2
POL000410,PO009968,PRT0569,1033,25.43,26269.19
POL000411,PO018682,PRT0404,2594,34.38,89181.72
POL000412,PO005446,PRT0869,2306,56.08,129320.48
POL000413,PO002024,PRT0879,2365,85.48,202160.2
POL000414,PO006408,PRT0411,3046,225.42,686629.32
POL000415,PO009531,PRT0763,2698,256.74,692684.52
POL000416,PO002597,PRT0605,661,142.44,94152.84
POL000417,PO013968,PRT0052,463,114.32,52930.16
POL000418,PO005803,PRT0726,1180,80.31,94765.8
POL000419,PO004974,PRT0438,2760,32.02,88375.2
POL000420,PO013828,PRT0505,4935,57.18,282183.3
POL000421,PO005140,PRT0431,3125,12.85,40156.25
POL000422,PO004405,PRT0310,1928,28.17,54311.76
POL000423,PO009111,PRT0923,846,155.31,131392.26
POL000424,PO015191,PRT0807,4499,117.19,527237.81
POL000425,PO002132,PRT0870,2524,496.99,1254402.76
POL000426,PO017134,PRT0694,397,54.2,21517.4
POL000427,PO017603,PRT0625,3238,118.46,383573.48
POL000428,PO011816,PRT0985,4624,33.02,152684.48
POL000429,PO012517,PRT0106,2497,45.75,114237.75
POL000430,PO013349,PRT0628,1295,29.95,38785.25
POL000431,PO003818,PRT0709,680,6.26,4256.8
POL000432,PO019092,PRT0228,3174,46.79,148511.46
POL000433,PO017640,PRT0476,3018,106.12,320270.16
POL000434,PO015693,PRT0282,788,196.55,154881.4
POL000435,PO005585,PRT0929,1472,115.86,170545.92
POL000436,PO016656,PRT0485,3561,18.08,64382.88
POL000437,PO015915,PRT0013,2103,40.19,84519.57
POL000438,PO008750,PRT0316,3935,33.68,132530.8
POL000439,PO002328,PRT0552,3220,29.24,94152.8
POL000440,PO018506,PRT0304,571,53.96,30811.16
POL000441,PO007454,PRT0917,4987,53.86,268599.82
POL000442,PO001699,PRT0261,351,15.78,5538.78
POL000443,PO017690,PRT0054,4207,54.02,227262.14
POL000444,PO013364,PRT0144,4315,38.39,165652.85
POL000445,PO007586,PRT0326,2733,44.85,122575.05
POL000446,PO015782,PRT0104,2357,17.43,41082.51
POL000447,PO006031,PRT0479,308,388.82,119756.56
POL000448,PO019225,PRT0224,736,9.11,6704.96
POL000449,PO019517,PRT0086,1546,83.71,129415.66
POL000450,PO002093,PRT0155,2798,208.43,583187.14
POL000451,PO019099,PRT0836,2794,39.94,111592.36
POL000452,PO007510,PRT0973,2794,64.88,181274.72
POL000453,PO007027,PRT0644,1153,9.95,11472.35
POL000454,PO009444,PRT0123,1398,101.72,142204.56
POL000455,PO013896,PRT0425,3352,55.5,186036.0
POL000456,PO005828,PRT0979,421,9.33,3927.93
POL000457,PO013951,PRT0576,2724,5.65,15390.6
POL000458,PO012846,PRT0423,405,117.43,47559.15
POL000459,PO000116,PRT0726,1297,80.31,104162.07
POL000460,PO016877,PRT0562,2763,174.22,481369.86
POL000461,PO009954,PRT0071,622,44.22,27504.84
POL000462,PO002528,PRT0733,1024,131.02,134164.48
POL000463,PO004314,PRT0030,786,26.22,20608.92
POL000464,PO011756,PRT0035,1317,220.25,290069.25
POL000465,PO012316,PRT0899,786,318.66,250466.76
POL000466,PO010987,PRT0379,2133,551.02,1175325.66
POL000467,PO004958,PRT0475,3703,123.47,457209.41
POL000468,PO002987,PRT0662,2286,21.38,48874.68
POL000469,PO002118,PRT0915,474,30.68,14542.32
POL000470,PO010211,PRT0940,2981,46.86,139689.66
POL000471,PO004470,PRT0895,4321,338.5,1462658.5
POL000472,PO017568,PRT0484,3378,38.97,131640.66
POL000473,PO009511,PRT0749,3587,20.3,72816.1
POL000474,PO016613,PRT0964,4235,58.39,247281.65
POL000475,PO000701,PRT0826,257,105.92,27221.44
POL000476,PO008266,PRT0951,2674,94.44,252532.56
POL000477,PO005120,PRT0390,276,20.87,5760.12
POL000478,PO010992,PRT0721,945,173.45,163910.25
POL000479,PO016447,PRT0982,3072,46.54,142970.88
POL000480,PO009609,PRT0752,3199,11.23,35924.77
POL000481,PO009062,PRT0097,1704,41.97,71516.88
POL000482,PO015934,PRT0149,4631,50.28,232846.68
POL000483,PO003518,PRT0109,1095,103.28,113091.6
POL000484,PO005488,PRT0214,686,188.92,129599.12
POL000485,PO009927,PRT0269,4625,23.29,107716.25
POL000486,PO017473,PRT0416,1925,18.2,35035.0
POL000487,PO013610,PRT0434,4180,237.96,994672.8
POL000488,PO001087,PRT0180,2651,1122.14,2974793.14
POL000489,PO012045,PRT0275,4511,15.1,68116.1
POL000490,PO011254,PRT0774,4667,335.18,1564285.06
POL000491,PO019543,PRT0458,2747,14.47,39749.09
POL000492,PO006037,PRT0878,3424,39.61,135624.64
POL000493,PO011360,PRT0896,4056,55.64,225675.84
POL000494,PO001247,PRT0844,515,44.97,23159.55
POL000495,PO011350,PRT0421,1192,172.19,205250.48
POL000496,PO017164,PRT0717,2423,144.77,350777.71
POL000497,PO009299,PRT0883,1629,22.39,36473.31
POL000498,PO004785,PRT0637,316,258.97,81834.52
POL000499,PO017734,PRT0091,813,35.79,29097.27
POL000500,PO013963,PRT0045,4927,33.64,165744.28
