KPI_ID,SupplierID,Month,TotalReceived,TotalDefective,PPM,OnTimeDeliveryRate,AverageInspectionScore,ScrapCost,OpenCARCount,SupplierQualityScore,RiskLevel
KPI000060,SUP036,2025-12-01,15936,1,62.75,50.0,97.14,31.51,22,71.07,High
KPI000061,SUP025,2025-10-01,44233,11,248.68,59.09,96.05,508.66,11,76.17,Medium
KPI000062,SUP082,2026-06-01,42976,45,1047.1,61.9,93.85,1717.27,22,71.12,High
KPI000063,SUP053,2024-11-01,41776,19,454.81,84.21,94.3,315.1,13,79.82,Medium
KPI000064,SUP100,2026-06-01,41670,20,479.96,65.22,95.33,764.11,9,82.82,Medium
KPI000065,SUP047,2025-06-01,9516,0,0.0,50.0,98.44,0.0,8,74.19,High
KPI000066,SUP049,2026-06-01,57296,38,663.22,80.0,95.24,2637.79,9,83.7,Medium
KPI000067,SUP067,2024-09-01,36690,8,218.04,69.57,96.51,653.82,17,70.87,High
KPI000068,SUP083,2026-02-01,16503,12,727.14,62.5,91.6,1052.18,14,77.63,Medium
KPI000069,SUP041,2024-11-01,16709,11,658.33,75.0,95.05,270.08,21,72.12,High
KPI000070,SUP026,2025-04-01,26250,4,152.38,68.75,96.24,126.04,8,78.85,Medium
KPI000071,SUP043,2025-04-01,29664,1,33.71,81.25,96.38,31.51,10,84.71,Medium
KPI000072,SUP081,2025-03-01,27346,14,511.96,61.54,95.02,189.06,9,79.33,Medium
KPI000073,SUP016,2026-06-01,16343,10,611.88,63.64,97.27,905.89,26,74.23,High
KPI000074,SUP061,2026-02-01,28952,3,103.62,56.25,95.33,102.41,17,72.82,High
KPI000075,SUP018,2025-10-01,14685,15,1021.45,77.78,95.2,528.91,16,72.49,High
KPI000076,SUP076,2024-12-01,38517,19,493.29,68.0,95.51,562.67,13,78.91,Medium
KPI000077,SUP004,2024-10-01,36912,31,839.84,68.18,94.07,1421.28,10,74.65,High
KPI000078,SUP092,2025-12-01,36142,20,553.37,72.73,96.31,375.87,10,81.26,Medium
KPI000079,SUP024,2026-07-01,19053,21,1102.19,54.55,91.41,865.39,16,70.26,High
KPI000080,SUP071,2026-05-01,21132,5,236.61,62.5,97.2,144.04,9,75.06,Medium
KPI000081,SUP013,2025-12-01,23832,17,713.33,60.0,94.13,467.02,11,78.75,Medium
KPI000082,SUP097,2024-11-01,40349,32,793.08,71.43,91.85,1088.19,11,76.53,Medium
KPI000083,SUP041,2026-04-01,37155,55,1480.29,79.17,94.21,945.29,21,71.52,High
KPI000084,SUP089,2024-11-01,34330,24,699.1,66.67,93.78,1030.81,15,76.5,Medium
KPI000085,SUP050,2025-06-01,41582,36,865.76,64.71,94.42,1439.31,12,75.56,Medium
KPI000086,SUP082,2025-05-01,30612,43,1404.68,52.0,92.57,1061.21,22,67.93,High
KPI000087,SUP067,2025-12-01,22207,12,540.37,66.67,95.61,252.08,17,69.5,High
KPI000088,SUP086,2025-06-01,21063,5,237.38,66.67,96.95,343.23,11,76.79,Medium
KPI000089,SUP055,2024-08-01,34874,15,430.12,68.0,94.84,733.72,11,76.28,Medium
KPI000090,SUP024,2025-08-01,61094,59,965.72,47.22,95.67,3920.67,16,68.7,High
KPI000091,SUP012,2025-12-01,38837,25,643.72,64.29,95.41,677.45,18,70.61,High
KPI000092,SUP093,2024-12-01,57727,30,519.69,67.65,95.75,530.04,12,78.98,Medium
KPI000093,SUP015,2025-12-01,14618,6,410.45,70.0,96.19,189.06,17,78.64,Medium
KPI000094,SUP064,2026-08-01,17520,7,399.54,75.0,95.59,220.57,10,80.6,Medium
KPI000095,SUP005,2024-10-01,33357,13,389.72,52.38,96.14,409.63,16,69.33,High
KPI000096,SUP075,2026-06-01,47718,50,1047.82,58.62,95.32,1262.64,15,71.29,High
KPI000097,SUP066,2025-08-01,31221,18,576.54,80.0,95.25,267.84,14,80.75,Medium
KPI000098,SUP049,2025-09-01,44203,4,90.49,69.57,95.96,183.43,9,82.24,Medium
KPI000099,SUP023,2024-10-01,31993,29,906.45,65.22,94.14,938.54,13,75.52,Medium
KPI000100,SUP098,2026-03-01,42205,32,758.2,66.67,94.87,1226.61,5,85.01,Medium
KPI000101,SUP078,2025-05-01,27445,1,36.44,60.0,96.18,31.51,19,70.59,High
KPI000102,SUP052,2024-07-01,17836,17,953.13,54.55,90.28,184.56,14,75.91,Medium
KPI000103,SUP010,2024-08-01,28886,29,1003.95,66.67,94.73,910.39,9,80.08,Medium
KPI000104,SUP009,2025-01-01,19368,7,361.42,60.0,93.61,427.63,8,79.93,Medium
KPI000105,SUP018,2026-05-01,43055,19,441.3,65.38,94.89,1056.71,16,70.55,High
KPI000106,SUP015,2024-07-01,35231,29,823.14,63.16,92.24,857.51,17,76.1,Medium
KPI000107,SUP045,2025-08-01,36947,35,947.3,77.78,94.96,701.08,14,79.14,Medium
KPI000108,SUP097,2025-04-01,25478,2,78.5,65.0,97.26,63.02,11,76.35,Medium
KPI000109,SUP073,2026-01-01,25031,33,1318.37,52.94,94.27,364.61,12,70.31,High
KPI000110,SUP025,2024-08-01,16036,8,498.88,69.23,94.87,348.85,11,78.21,Medium
KPI000111,SUP087,2026-07-01,10269,4,389.52,75.0,93.35,94.53,15,80.38,Medium
KPI000112,SUP066,2026-03-01,38794,19,489.77,64.0,94.62,644.82,14,76.93,Medium
KPI000113,SUP090,2026-05-01,28635,20,698.45,80.0,91.82,1168.1,12,79.0,Medium
KPI000114,SUP080,2026-05-01,41842,33,788.68,72.0,94.91,994.8,11,77.82,Medium
KPI000115,SUP001,2026-03-01,39524,19,480.72,72.73,93.53,984.67,20,71.0,High
KPI000116,SUP074,2025-09-01,25962,6,231.11,63.16,94.06,283.59,15,78.67,Medium
KPI000117,SUP061,2026-06-01,24303,4,164.59,66.67,97.64,207.06,17,75.3,Medium
KPI000118,SUP061,2025-11-01,59566,8,134.3,63.89,96.65,441.13,17,74.67,High
KPI000119,SUP064,2025-05-01,36979,3,81.13,73.08,97.08,175.55,10,80.76,Medium
KPI000120,SUP095,2024-10-01,20444,16,782.63,69.23,95.46,346.6,11,80.43,Medium
KPI000121,SUP091,2025-04-01,26650,28,1050.66,83.33,92.74,1035.31,12,81.69,Medium
KPI000122,SUP039,2026-01-01,66514,74,1112.55,69.7,93.78,2862.86,18,68.75,High
KPI000123,SUP088,2025-11-01,42391,17,401.03,70.0,94.9,600.93,16,78.91,Medium
KPI000124,SUP096,2025-07-01,41434,15,362.02,65.52,96.2,385.99,9,78.99,Medium
KPI000125,SUP037,2026-04-01,8504,1,117.59,33.33,96.35,90.03,8,75.97,Medium
KPI000126,SUP028,2025-11-01,10117,16,1581.5,71.43,93.91,157.55,11,80.95,Medium
KPI000127,SUP060,2024-09-01,15594,25,1603.18,72.73,91.61,1252.51,13,75.71,Medium
KPI000128,SUP071,2025-04-01,26322,11,417.9,66.67,93.87,482.77,9,75.74,Medium
KPI000129,SUP081,2024-10-01,64381,25,388.31,71.43,92.7,1323.4,9,82.05,Medium
KPI000130,SUP021,2024-08-01,34911,18,515.6,60.0,95.52,372.49,9,75.72,Medium
KPI000131,SUP042,2025-06-01,28959,13,448.91,60.0,95.44,514.28,17,73.94,High
KPI000132,SUP092,2026-06-01,21073,11,521.99,64.29,94.03,503.03,10,79.21,Medium
KPI000133,SUP050,2025-11-01,21930,5,228.0,57.89,93.5,386.0,12,75.13,Medium
KPI000134,SUP057,2025-09-01,18637,7,375.6,30.0,95.56,184.56,18,63.12,High
KPI000135,SUP020,2025-08-01,33634,18,535.17,75.0,95.09,589.68,14,74.97,High
KPI000136,SUP081,2026-01-01,33737,40,1185.64,71.43,94.25,1244.64,9,80.45,Medium
KPI000137,SUP059,2025-05-01,38340,17,443.4,82.61,96.07,660.58,14,77.75,Medium
KPI000138,SUP086,2025-03-01,31025,31,999.19,55.56,95.94,485.03,11,72.49,High
KPI000139,SUP016,2025-06-01,43021,36,836.8,67.74,94.8,916.03,26,74.8,High
KPI000140,SUP056,2024-08-01,16357,25,1528.4,66.67,95.07,787.74,10,73.82,High
KPI000141,SUP100,2026-05-01,42434,11,259.23,72.0,95.88,401.75,9,84.95,Medium
KPI000142,SUP006,2026-01-01,20207,8,395.9,46.15,94.71,552.54,16,69.89,High
KPI000143,SUP042,2025-02-01,13063,4,306.21,75.0,95.26,225.06,17,77.98,Medium
KPI000144,SUP079,2025-11-01,58277,38,652.06,71.43,94.15,1380.81,15,77.57,Medium
KPI000145,SUP064,2025-10-01,16878,10,592.49,55.56,95.45,787.73,10,75.36,Medium
KPI000146,SUP038,2025-02-01,32481,19,584.96,65.22,95.53,441.13,15,75.07,Medium
KPI000147,SUP029,2024-12-01,33406,7,209.54,80.0,96.86,220.57,14,75.25,Medium
KPI000148,SUP092,2026-02-01,31512,12,380.81,66.67,96.37,283.59,10,80.09,Medium
KPI000149,SUP059,2025-08-01,32858,19,578.25,35.29,94.06,756.23,14,65.65,High
KPI000150,SUP094,2025-11-01,28466,15,526.94,68.42,95.97,378.12,13,80.46,Medium
KPI000151,SUP009,2025-04-01,35558,2,56.25,75.0,96.64,151.92,8,84.29,Medium
KPI000152,SUP046,2025-09-01,42318,24,567.13,59.26,95.06,1181.61,15,73.49,High
KPI000153,SUP058,2025-01-01,23933,21,877.45,64.71,94.96,385.99,11,72.46,High
KPI000154,SUP047,2026-01-01,14644,1,68.29,61.54,96.83,31.51,8,76.93,Medium
KPI000155,SUP046,2026-05-01,40917,16,391.04,55.17,95.21,679.71,15,72.82,High
KPI000156,SUP045,2026-07-01,31118,28,899.8,68.42,94.25,874.39,14,76.9,Medium
KPI000157,SUP060,2025-05-01,39331,35,889.88,63.64,93.59,1614.86,13,74.86,High
KPI000158,SUP072,2026-07-01,3048,0,0.0,75.0,95.9,0.0,10,83.25,Medium
KPI000159,SUP027,2026-07-01,24710,2,80.94,64.29,96.54,31.51,13,74.93,High
KPI000160,SUP001,2026-06-01,27256,37,1357.5,62.5,94.76,688.71,20,66.69,High
KPI000161,SUP016,2025-02-01,46894,22,469.14,66.67,95.27,1375.16,26,75.27,Medium
KPI000162,SUP018,2026-03-01,41503,18,433.7,53.85,96.08,791.11,16,67.69,High
KPI000163,SUP044,2024-12-01,43183,31,717.88,84.85,94.86,1218.75,9,80.96,Medium
KPI000164,SUP072,2025-09-01,27577,33,1196.65,46.67,93.76,283.59,10,73.77,High
KPI000165,SUP067,2026-02-01,29606,24,810.65,63.16,94.54,569.43,17,68.09,High
KPI000166,SUP036,2026-04-01,29912,27,902.65,54.55,95.74,747.23,22,70.53,High
KPI000167,SUP021,2025-04-01,30878,21,680.1,68.42,91.74,701.09,9,77.5,Medium
KPI000168,SUP003,2024-12-01,37670,37,982.21,76.19,91.99,1414.55,11,79.04,Medium
KPI000169,SUP093,2024-07-01,5205,10,1921.23,100.0,92.15,157.55,12,84.26,Medium
KPI000170,SUP069,2025-10-01,18024,3,166.44,46.15,94.91,189.06,10,72.53,High
KPI000171,SUP038,2025-05-01,38043,29,762.3,38.89,95.02,814.75,15,68.13,High
KPI000172,SUP071,2024-09-01,55528,52,936.46,65.22,94.31,1236.73,9,74.34,High
KPI000173,SUP026,2026-06-01,51833,26,501.61,65.38,94.12,776.48,8,77.31,Medium
KPI000174,SUP006,2025-03-01,74320,54,726.59,66.67,94.27,1457.32,16,74.36,High
KPI000175,SUP091,2026-05-01,22506,19,844.22,68.75,93.39,667.33,12,78.46,Medium
KPI000176,SUP028,2025-05-01,63474,24,378.11,58.54,95.09,705.6,11,80.14,Medium
KPI000177,SUP006,2026-02-01,32035,35,1092.56,57.14,93.74,1253.63,16,71.25,High
KPI000178,SUP059,2024-08-01,9388,2,213.04,50.0,96.31,63.02,14,70.06,High
KPI000179,SUP057,2026-02-01,45514,23,505.34,57.14,94.08,841.75,18,69.64,High
KPI000180,SUP014,2026-03-01,43044,43,998.98,59.09,91.68,1462.95,14,69.67,High
KPI000181,SUP009,2025-10-01,30780,11,357.37,65.0,95.44,157.55,8,81.18,Medium
KPI000182,SUP038,2024-10-01,35689,8,224.16,65.0,95.46,351.11,15,75.73,Medium
KPI000183,SUP022,2024-09-01,36891,36,975.85,69.57,94.78,1353.78,16,77.57,Medium
KPI000184,SUP041,2025-01-01,33903,30,884.88,73.91,95.38,1611.48,21,71.39,High
KPI000185,SUP079,2026-02-01,48061,22,457.75,60.0,95.65,1066.82,15,75.1,Medium
KPI000186,SUP024,2025-09-01,39118,27,690.22,65.22,93.3,1423.56,16,73.75,High
KPI000187,SUP015,2026-07-01,12461,23,1845.76,50.0,93.87,1989.59,17,70.76,High
KPI000188,SUP070,2024-10-01,20486,9,439.32,66.67,95.14,220.57,12,76.11,Medium
KPI000189,SUP025,2025-09-01,17979,24,1334.89,76.92,92.65,648.2,11,78.46,Medium
KPI000190,SUP080,2025-04-01,27869,9,322.94,76.0,95.94,524.4,11,79.75,Medium
KPI000191,SUP007,2025-12-01,27293,20,732.79,81.25,96.36,711.21,12,83.52,Medium
KPI000192,SUP097,2025-10-01,30156,5,165.8,56.25,94.83,342.11,11,73.99,High
KPI000193,SUP039,2025-05-01,9405,3,318.98,58.33,95.04,118.16,18,67.49,High
KPI000194,SUP069,2026-03-01,15954,20,1253.6,60.0,96.29,504.15,10,73.82,High
KPI000195,SUP064,2024-08-01,42998,21,488.39,76.19,95.48,627.94,10,80.72,Medium
KPI000196,SUP017,2025-08-01,46719,40,856.18,66.67,94.53,980.18,17,71.11,High
KPI000197,SUP098,2025-06-01,35629,18,505.21,50.0,94.84,1092.7,5,81.35,Medium
KPI000198,SUP024,2026-05-01,19099,21,1099.53,57.14,93.06,441.13,16,70.91,High
KPI000199,SUP054,2024-10-01,50775,60,1181.68,72.73,94.8,1329.04,16,76.47,Medium
KPI000200,SUP054,2025-12-01,34098,17,498.56,80.0,93.94,456.9,16,79.65,Medium
KPI000201,SUP071,2024-08-01,14578,30,2057.9,78.57,92.08,1098.34,9,75.44,Medium
KPI000202,SUP006,2025-08-01,40955,36,879.01,72.0,93.4,1035.31,16,75.39,Medium
KPI000203,SUP007,2025-05-01,42606,29,680.66,61.54,94.59,1039.82,12,78.7,Medium
KPI000204,SUP099,2026-02-01,13570,8,589.54,50.0,94.17,259.96,22,62.74,High
KPI000205,SUP005,2025-07-01,10297,10,971.16,100.0,95.25,189.06,16,80.08,Medium
KPI000206,SUP082,2024-09-01,54862,19,346.32,65.38,94.02,467.02,22,73.39,High
KPI000207,SUP002,2025-06-01,22334,12,537.3,68.42,96.01,252.08,11,75.83,Medium
KPI000208,SUP028,2024-10-01,12733,18,1413.65,77.78,92.74,291.47,11,82.88,Medium
KPI000209,SUP030,2024-10-01,48234,62,1285.4,56.0,92.46,1455.06,12,74.24,High
KPI000210,SUP047,2026-03-01,27807,7,251.74,66.67,95.3,126.04,8,77.85,Medium
KPI000211,SUP052,2024-12-01,35069,34,969.52,54.55,93.64,864.26,14,75.87,Medium
KPI000212,SUP014,2025-05-01,20001,13,649.97,90.91,95.36,980.17,14,78.32,Medium
KPI000213,SUP061,2024-08-01,57655,36,624.4,69.7,94.43,1357.16,17,75.14,Medium
KPI000214,SUP075,2025-07-01,28320,35,1235.88,75.0,90.68,876.64,15,75.01,Medium
KPI000215,SUP004,2025-08-01,29329,5,170.48,68.42,95.63,283.59,10,76.05,Medium
KPI000216,SUP078,2026-01-01,51729,62,1198.55,69.44,94.86,1800.55,19,70.62,High
KPI000217,SUP071,2025-05-01,32602,16,490.77,65.0,92.8,589.68,9,75.18,Medium
KPI000218,SUP094,2025-02-01,31006,1,32.25,72.22,97.12,31.51,13,82.39,Medium
KPI000219,SUP017,2024-07-01,15813,25,1580.98,77.78,91.66,189.06,17,72.43,High
KPI000220,SUP042,2024-10-01,38291,34,887.94,73.91,93.71,1995.22,17,76.54,Medium
KPI000221,SUP002,2025-12-01,32411,21,647.93,66.67,95.62,279.09,11,75.17,Medium
KPI000222,SUP006,2025-06-01,28043,3,106.98,81.82,93.81,94.53,16,79.39,Medium
KPI000223,SUP063,2025-01-01,58706,40,681.36,51.28,94.87,1853.43,19,69.04,High
KPI000224,SUP033,2025-07-01,35808,31,865.73,40.0,94.66,1282.87,16,67.05,High
KPI000225,SUP063,2026-04-01,49146,41,834.25,56.0,95.86,1078.07,19,69.91,High
KPI000226,SUP021,2026-03-01,38380,6,156.33,72.22,95.27,126.04,9,79.5,Medium
KPI000227,SUP039,2026-07-01,16261,3,184.49,58.33,95.74,121.54,18,67.76,High
KPI000228,SUP015,2025-07-01,22400,17,758.93,81.25,95.89,291.47,17,80.75,Medium
KPI000229,SUP056,2025-03-01,9169,0,0.0,85.71,97.68,0.0,10,81.64,Medium
KPI000230,SUP054,2026-02-01,37468,10,266.89,71.43,94.85,534.53,16,77.97,Medium
KPI000231,SUP058,2025-06-01,29634,5,168.73,65.22,95.46,165.43,11,74.01,High
KPI000232,SUP032,2026-06-01,56189,90,1601.74,51.35,93.38,3152.07,11,69.99,High
KPI000233,SUP048,2025-06-01,32763,15,457.83,92.31,96.35,782.1,13,83.13,Medium
KPI000234,SUP044,2025-02-01,48236,42,870.72,61.54,93.03,1225.49,9,74.83,High
KPI000235,SUP092,2024-12-01,74369,15,201.7,72.73,96.77,396.12,10,81.97,Medium
KPI000236,SUP047,2025-08-01,18914,22,1163.16,42.86,93.3,522.15,8,70.07,High
KPI000237,SUP003,2024-08-01,29795,18,604.13,80.0,94.83,492.89,11,80.74,Medium
KPI000238,SUP084,2024-08-01,15545,9,578.96,37.5,94.84,319.59,14,69.44,High
KPI000239,SUP050,2026-05-01,27165,32,1177.99,50.0,94.36,551.43,12,71.26,High
KPI000240,SUP046,2024-12-01,8299,5,602.48,50.0,92.82,270.08,15,71.1,High
KPI000241,SUP058,2026-06-01,48277,25,517.84,56.67,95.04,795.62,11,71.17,High
KPI000242,SUP051,2024-09-01,44294,28,632.14,70.83,95.2,1138.84,17,72.53,High
KPI000243,SUP006,2025-02-01,48920,37,756.34,61.54,94.88,2192.15,16,73.02,High
KPI000244,SUP045,2024-09-01,41281,15,363.36,70.97,95.28,514.28,14,78.61,Medium
KPI000245,SUP100,2025-01-01,37049,14,377.88,50.0,94.82,228.45,9,79.22,Medium
KPI000246,SUP048,2025-12-01,30124,16,531.14,52.94,95.45,1343.65,13,73.14,High
KPI000247,SUP080,2024-11-01,27592,2,72.48,71.43,95.63,144.04,11,79.11,Medium
KPI000248,SUP086,2024-08-01,18259,20,1095.35,71.43,93.73,760.73,11,76.26,Medium
KPI000249,SUP091,2025-06-01,15842,1,63.12,50.0,97.28,31.51,12,75.33,Medium
KPI000250,SUP018,2026-07-01,26038,2,76.81,23.08,96.56,189.06,16,60.71,High
KPI000251,SUP074,2025-10-01,56563,39,689.5,57.58,95.38,997.04,15,76.35,Medium
KPI000252,SUP098,2024-08-01,27720,8,288.6,33.33,94.35,149.67,5,77.61,Medium
KPI000253,SUP018,2025-12-01,25667,13,506.49,55.0,96.19,567.18,16,67.83,High
KPI000254,SUP040,2026-04-01,28591,21,734.5,76.47,96.56,259.96,11,75.57,Medium
KPI000255,SUP010,2025-07-01,18371,5,272.17,69.23,94.61,133.92,9,82.19,Medium
KPI000256,SUP039,2025-01-01,25616,13,507.5,78.95,95.55,396.12,18,72.27,High
KPI000257,SUP082,2025-04-01,32085,18,561.01,70.59,93.84,967.8,22,74.27,High
KPI000258,SUP013,2025-04-01,26194,7,267.24,42.86,95.55,157.55,11,75.36,Medium
KPI000259,SUP067,2025-07-01,36933,34,920.59,60.0,94.56,1079.21,17,67.08,High
KPI000260,SUP051,2024-10-01,10336,2,193.5,62.5,95.68,63.02,17,71.33,High
KPI000261,SUP054,2025-06-01,37722,61,1617.09,48.0,93.32,1297.52,16,69.41,High
KPI000262,SUP076,2025-11-01,31077,25,804.45,76.19,93.04,1485.44,13,80.34,Medium
KPI000263,SUP008,2026-02-01,27844,8,287.32,47.06,95.56,299.34,20,64.92,High
KPI000264,SUP099,2025-04-01,10901,26,2385.1,72.73,91.77,720.23,22,64.83,High
KPI000265,SUP049,2026-01-01,25179,2,79.43,50.0,96.7,63.02,9,77.37,Medium
KPI000266,SUP010,2025-02-01,76727,26,338.86,61.9,95.25,853.01,9,80.22,Medium
KPI000267,SUP021,2026-01-01,16335,40,2448.73,61.54,92.22,1686.87,9,72.24,High
KPI000268,SUP096,2026-04-01,15738,13,826.03,77.78,93.49,534.53,9,81.12,Medium
KPI000269,SUP036,2025-04-01,46300,17,367.17,55.0,94.79,1081.44,22,71.71,High
KPI000270,SUP049,2025-03-01,32266,12,371.91,63.64,95.12,204.82,9,80.19,Medium
KPI000271,SUP097,2025-03-01,32098,29,903.48,52.63,93.8,968.92,11,71.61,High
KPI000272,SUP015,2025-04-01,47783,34,711.55,63.64,95.73,1377.42,17,76.44,Medium
KPI000273,SUP018,2025-06-01,26767,14,523.03,71.43,95.58,348.86,16,71.9,High
KPI000274,SUP001,2025-06-01,32994,21,636.48,72.73,94.28,712.35,20,70.69,High
KPI000275,SUP068,2025-01-01,74636,44,589.53,68.42,94.0,1769.04,15,75.34,Medium
KPI000276,SUP054,2026-06-01,52805,60,1136.26,70.97,95.83,1679.01,16,76.12,Medium
KPI000277,SUP091,2024-09-01,16103,46,2856.61,58.33,91.76,1549.57,12,71.83,High
KPI000278,SUP070,2025-06-01,26354,33,1252.18,81.25,95.22,1599.09,12,78.13,Medium
KPI000279,SUP002,2025-05-01,31263,19,607.75,47.62,95.66,372.49,11,70.49,High
KPI000280,SUP030,2025-08-01,35554,13,365.64,52.17,95.35,607.68,12,75.13,Medium
KPI000281,SUP042,2024-09-01,29481,9,305.28,66.67,96.4,228.45,17,75.9,Medium
KPI000282,SUP031,2026-06-01,34450,46,1335.27,73.33,94.99,994.8,6,85.12,Medium
KPI000283,SUP041,2025-05-01,34932,26,744.3,63.64,94.83,1213.12,21,69.11,High
KPI000284,SUP088,2025-02-01,24800,9,362.9,75.0,94.66,408.49,16,80.24,Medium
