PO_ID,SupplierID,PlantID,OrderDate,DueDate,POStatus,TotalAmount
PO000081,SUP002,PLT004,2024-12-17,2024-12-28,Closed,531512.76
PO000082,SUP013,PLT001,2026-01-24,2026-03-08,Closed,1921208.6
PO000083,SUP034,PLT002,2024-07-05,2024-08-13,Delayed,564959.14
PO000084,SUP032,PLT003,2025-01-09,2025-01-20,Closed,1673021.31
PO000085,SUP070,PLT006,2025-03-22,2025-04-26,Closed,66146.41
PO000086,SUP002,PLT006,2025-12-01,2026-01-10,Closed,1259973.41
PO000087,SUP085,PLT001,2025-05-15,2025-06-10,Delayed,1240977.87
PO000088,SUP034,PLT001,2025-06-30,2025-07-15,Closed,313949.76
PO000089,SUP020,PLT003,2025-02-02,2025-03-16,Closed,603086.73
PO000090,SUP092,PLT003,2026-05-07,2026-05-27,Closed,287914.67
PO000091,SUP065,PLT004,2024-10-24,2024-11-16,Closed,756784.46
PO000092,SUP012,PLT006,2025-01-26,2025-02-05,Closed,1129319.64
PO000093,SUP006,PLT001,2025-08-07,2025-08-31,Closed,177961.26
PO000094,SUP082,PLT003,2024-10-16,2024-10-31,Closed,1328071.22
PO000095,SUP071,PLT006,2024-07-22,2024-08-26,Closed,373952.94
PO000096,SUP015,PLT001,2026-01-26,2026-02-02,Delayed,934638.64
PO000097,SUP070,PLT001,2025-09-02,2025-09-18,Closed,212297.46
PO000098,SUP071,PLT002,2025-07-13,2025-08-26,Closed,703472.48
PO000099,SUP040,PLT003,2025-02-04,2025-02-13,Closed,1031849.27
PO000100,SUP046,PLT002,2024-10-26,2024-11-04,Closed,238051.56
PO000101,SUP046,PLT005,2024-09-26,2024-10-09,Closed,1776468.75
PO000102,SUP080,PLT006,2025-01-23,2025-02-25,Closed,1969838.46
PO000103,SUP021,PLT002,2025-06-02,2025-06-24,Closed,1133584.0
PO000104,SUP023,PLT006,2024-08-22,2024-08-30,Delayed,1159811.16
PO000105,SUP086,PLT006,2025-12-06,2026-01-08,Closed,1881856.31
PO000106,SUP021,PLT006,2025-06-22,2025-07-16,Open,812716.61
PO000107,SUP061,PLT002,2024-07-01,2024-07-10,Closed,304095.55
PO000108,SUP045,PLT003,2026-06-11,2026-07-17,Closed,396504.56
PO000109,SUP029,PLT001,2025-05-01,2025-05-22,Closed,132936.86
PO000110,SUP043,PLT003,2026-03-06,2026-04-07,Closed,378126.83
PO000111,SUP045,PLT006,2024-11-11,2024-12-05,Closed,844946.34
PO000112,SUP043,PLT001,2025-06-23,2025-08-03,Open,241193.48
PO000113,SUP023,PLT005,2026-01-16,2026-02-08,Delayed,215173.78
PO000114,SUP005,PLT001,2025-08-19,2025-09-11,Closed,444760.14
PO000115,SUP094,PLT003,2025-04-07,2025-05-06,Closed,607616.8
PO000116,SUP015,PLT004,2025-08-21,2025-09-29,Closed,669596.47
PO000117,SUP033,PLT001,2025-01-08,2025-01-27,Closed,728146.0
PO000118,SUP067,PLT005,2025-07-08,2025-07-15,Closed,6221990.21
PO000119,SUP047,PLT004,2026-02-04,2026-02-23,Open,664924.79
PO000120,SUP080,PLT003,2026-02-09,2026-03-09,Closed,1428131.82
PO000121,SUP093,PLT003,2024-08-11,2024-08-25,Closed,680937.19
PO000122,SUP042,PLT004,2026-04-25,2026-05-28,Closed,765659.69
PO000123,SUP017,PLT002,2025-06-05,2025-07-17,Closed,1179947.01
PO000124,SUP087,PLT006,2025-07-14,2025-08-14,Delayed,642761.14
PO000125,SUP039,PLT004,2026-05-24,2026-07-06,Closed,115450.15
PO000126,SUP039,PLT003,2026-02-04,2026-02-11,Closed,1675696.19
PO000127,SUP078,PLT006,2026-04-30,2026-06-13,Closed,923369.42
PO000128,SUP057,PLT006,2024-08-07,2024-09-11,Closed,403818.65
PO000129,SUP095,PLT002,2024-07-11,2024-08-17,Closed,649910.7
PO000130,SUP066,PLT006,2024-11-04,2024-11-29,Closed,549215.91
PO000131,SUP012,PLT002,2024-11-20,2024-12-18,Closed,81445.92
PO000132,SUP026,PLT002,2024-09-09,2024-09-30,Open,38590.71
PO000133,SUP061,PLT005,2025-01-27,2025-02-18,Closed,2622101.22
PO000134,SUP059,PLT004,2026-04-01,2026-04-12,Closed,106721.99
PO000135,SUP025,PLT006,2026-02-11,2026-03-26,Closed,145307.37
PO000136,SUP052,PLT002,2025-06-14,2025-07-22,Open,883247.58
PO000137,SUP097,PLT001,2024-10-08,2024-10-15,Closed,554000.7
PO000138,SUP023,PLT006,2024-12-05,2024-12-26,Closed,0.0
PO000139,SUP072,PLT002,2025-07-30,2025-08-09,Delayed,913855.58
PO000140,SUP059,PLT002,2025-03-12,2025-03-26,Closed,2494731.31
PO000141,SUP072,PLT005,2025-04-08,2025-05-18,Closed,1074638.29
PO000142,SUP079,PLT006,2025-10-30,2025-12-04,Closed,168431.85
PO000143,SUP071,PLT004,2024-07-16,2024-08-19,Closed,2958030.84
PO000144,SUP058,PLT003,2025-03-29,2025-05-05,Closed,110393.36
PO000145,SUP099,PLT005,2025-08-29,2025-09-22,Closed,1268670.03
PO000146,SUP036,PLT004,2025-07-11,2025-08-02,Open,636924.62
PO000147,SUP031,PLT003,2025-01-29,2025-02-23,Closed,443269.57
PO000148,SUP011,PLT002,2026-02-18,2026-03-31,Closed,2521478.43
PO000149,SUP089,PLT002,2025-08-26,2025-09-26,Closed,281771.44
PO000150,SUP054,PLT004,2026-01-14,2026-01-25,Closed,1033910.11
PO000151,SUP054,PLT001,2024-08-11,2024-09-16,Closed,0.0
PO000152,SUP050,PLT005,2026-06-11,2026-07-14,Delayed,282966.36
PO000153,SUP098,PLT005,2026-01-02,2026-01-10,Closed,1811362.18
PO000154,SUP046,PLT003,2026-01-19,2026-01-26,Closed,0.0
PO000155,SUP069,PLT006,2024-10-03,2024-11-05,Closed,248177.59
PO000156,SUP029,PLT004,2025-09-09,2025-10-24,Closed,860229.24
PO000157,SUP063,PLT001,2025-08-15,2025-09-18,Closed,772991.4
PO000158,SUP093,PLT002,2024-08-11,2024-09-12,Closed,1344954.56
PO000159,SUP080,PLT005,2025-09-09,2025-09-24,Open,256494.61
PO000160,SUP076,PLT005,2026-03-28,2026-04-29,Closed,698494.37
PO000161,SUP083,PLT004,2026-05-21,2026-06-02,Open,1115811.0
PO000162,SUP024,PLT001,2025-11-06,2025-12-12,Closed,2138121.25
PO000163,SUP028,PLT004,2026-01-08,2026-02-04,Closed,1634310.79
PO000164,SUP036,PLT004,2024-12-01,2025-01-01,Closed,1204337.4
PO000165,SUP061,PLT001,2025-11-27,2025-12-09,Closed,6223909.86
PO000166,SUP045,PLT002,2026-01-04,2026-01-14,Closed,781011.08
PO000167,SUP097,PLT001,2025-01-21,2025-01-30,Delayed,279526.04
PO000168,SUP003,PLT005,2025-07-02,2025-07-21,Closed,518531.87
PO000169,SUP061,PLT006,2026-03-29,2026-04-13,Open,812373.26
PO000170,SUP060,PLT006,2024-11-10,2024-11-30,Closed,250662.01
PO000171,SUP022,PLT005,2024-09-25,2024-10-25,Closed,495044.54
PO000172,SUP100,PLT002,2024-07-23,2024-08-06,Delayed,1131114.96
PO000173,SUP075,PLT001,2025-05-09,2025-05-22,Delayed,298576.02
PO000174,SUP087,PLT004,2024-07-08,2024-08-20,Closed,853381.87
PO000175,SUP010,PLT005,2025-09-12,2025-10-01,Closed,1533531.49
PO000176,SUP014,PLT006,2024-07-22,2024-08-13,Closed,561653.85
PO000177,SUP016,PLT005,2025-09-15,2025-10-30,Closed,1460718.04
PO000178,SUP069,PLT004,2026-06-15,2026-07-14,Closed,974970.52
PO000179,SUP065,PLT006,2026-02-26,2026-03-09,Closed,2658461.0
PO000180,SUP063,PLT001,2024-10-13,2024-11-15,Closed,166845.09
PO000181,SUP082,PLT004,2025-11-26,2025-12-26,Closed,741134.52
PO000182,SUP023,PLT006,2026-06-12,2026-07-16,Closed,1448228.3
PO000183,SUP079,PLT005,2026-06-04,2026-06-28,Closed,719225.63
PO000184,SUP056,PLT006,2026-03-15,2026-04-20,Closed,151954.32
PO000185,SUP032,PLT001,2024-08-23,2024-09-19,Closed,481257.5
PO000186,SUP032,PLT004,2025-10-31,2025-12-05,Closed,2852361.6
PO000187,SUP044,PLT001,2026-05-24,2026-06-24,Closed,648636.21
PO000188,SUP024,PLT004,2026-01-16,2026-02-12,Closed,0.0
PO000189,SUP044,PLT003,2026-03-04,2026-03-27,Closed,1548030.32
PO000190,SUP072,PLT001,2024-09-28,2024-10-22,Closed,80900.5
PO000191,SUP011,PLT002,2025-03-22,2025-04-10,Closed,289359.2
PO000192,SUP072,PLT002,2025-06-15,2025-07-23,Closed,514329.54
PO000193,SUP058,PLT001,2026-05-06,2026-06-13,Open,269398.68
PO000194,SUP052,PLT006,2024-12-13,2025-01-03,Closed,1086603.68
PO000195,SUP048,PLT004,2026-02-16,2026-04-01,Closed,445104.83
PO000196,SUP055,PLT006,2026-05-22,2026-06-20,Closed,557535.5
PO000197,SUP090,PLT004,2026-03-30,2026-04-28,Closed,812979.43
PO000198,SUP030,PLT001,2024-09-12,2024-10-05,Closed,908866.89
PO000199,SUP016,PLT006,2025-12-15,2026-01-11,Closed,438225.6
PO000200,SUP025,PLT002,2026-02-12,2026-03-02,Closed,2123111.1
PO000201,SUP093,PLT005,2025-07-02,2025-07-26,Delayed,1225190.01
PO000202,SUP077,PLT003,2025-08-17,2025-09-26,Cancelled,1507279.78
PO000203,SUP038,PLT002,2024-10-20,2024-11-08,Closed,894066.81
PO000204,SUP002,PLT006,2025-02-20,2025-03-18,Closed,130022.76
PO000205,SUP006,PLT001,2024-08-22,2024-09-15,Closed,748161.11
PO000206,SUP082,PLT004,2024-11-25,2024-12-10,Open,576106.23
PO000207,SUP074,PLT003,2024-08-31,2024-09-07,Closed,1074561.82
PO000208,SUP044,PLT002,2025-08-29,2025-10-03,Delayed,413811.41
PO000209,SUP062,PLT001,2025-07-16,2025-08-08,Closed,979422.09
PO000210,SUP063,PLT001,2026-02-21,2026-03-25,Closed,486694.6
PO000211,SUP020,PLT002,2026-05-25,2026-06-04,Closed,404644.17
PO000212,SUP011,PLT002,2026-06-16,2026-07-12,Open,1446547.81
PO000213,SUP078,PLT005,2025-08-25,2025-09-27,Closed,14429106.03
PO000214,SUP100,PLT005,2024-11-10,2024-12-01,Closed,211944.61
PO000215,SUP039,PLT005,2024-09-08,2024-10-13,Cancelled,785133.92
PO000216,SUP073,PLT005,2026-04-27,2026-05-23,Open,513909.71
PO000217,SUP098,PLT002,2025-03-31,2025-04-13,Closed,388647.0
PO000218,SUP085,PLT001,2025-04-29,2025-05-22,Closed,1821478.71
PO000219,SUP071,PLT001,2025-03-24,2025-04-11,Closed,653242.18
PO000220,SUP058,PLT006,2025-05-12,2025-06-14,Closed,268173.5
PO000221,SUP005,PLT002,2025-05-03,2025-05-28,Closed,382466.7
PO000222,SUP090,PLT004,2026-01-05,2026-01-30,Open,879130.78
PO000223,SUP034,PLT006,2025-01-05,2025-01-26,Closed,487034.7
PO000224,SUP055,PLT001,2024-11-22,2024-12-11,Closed,1138503.11
PO000225,SUP035,PLT002,2026-01-06,2026-01-22,Open,245874.34
PO000226,SUP040,PLT005,2025-03-22,2025-04-08,Closed,2012663.38
PO000227,SUP037,PLT004,2026-04-20,2026-06-02,Open,905165.78
PO000228,SUP090,PLT004,2026-01-22,2026-02-17,Delayed,175607.74
PO000229,SUP070,PLT004,2025-02-01,2025-03-12,Closed,136525.58
PO000230,SUP006,PLT004,2024-07-19,2024-09-02,Closed,1087583.82
PO000231,SUP033,PLT001,2025-08-22,2025-10-06,Open,3916113.79
PO000232,SUP076,PLT001,2026-03-21,2026-05-03,Cancelled,445289.92
PO000233,SUP074,PLT001,2026-03-22,2026-04-15,Closed,1519910.47
PO000234,SUP061,PLT005,2025-01-15,2025-02-02,Closed,127696.09
PO000235,SUP024,PLT005,2024-07-22,2024-08-15,Closed,276434.18
PO000236,SUP012,PLT004,2025-10-15,2025-11-22,Closed,491397.49
PO000237,SUP042,PLT006,2025-03-31,2025-04-28,Open,381801.52
PO000238,SUP043,PLT004,2026-03-31,2026-04-17,Closed,837988.33
PO000239,SUP085,PLT004,2024-11-08,2024-12-03,Closed,1400374.5
PO000240,SUP005,PLT004,2024-11-17,2024-12-29,Open,968352.73
PO000241,SUP042,PLT001,2026-01-08,2026-01-31,Delayed,214985.72
PO000242,SUP066,PLT001,2025-10-28,2025-11-29,Closed,638336.86
PO000243,SUP060,PLT004,2024-07-10,2024-08-20,Open,2267754.75
PO000244,SUP047,PLT005,2026-06-08,2026-07-18,Closed,1060148.39
PO000245,SUP098,PLT001,2025-10-06,2025-11-10,Closed,1084179.45
PO000246,SUP017,PLT003,2025-01-29,2025-03-12,Closed,1461632.04
PO000247,SUP016,PLT001,2025-11-10,2025-12-18,Delayed,100695.2
PO000248,SUP031,PLT006,2024-11-08,2024-12-23,Closed,90037.25
PO000249,SUP002,PLT005,2026-02-16,2026-03-30,Closed,1274487.86
PO000250,SUP015,PLT004,2025-10-18,2025-11-08,Delayed,913022.2
PO000251,SUP064,PLT006,2025-10-26,2025-11-11,Closed,220985.89
PO000252,SUP054,PLT004,2025-07-10,2025-08-03,Cancelled,557033.86
PO000253,SUP059,PLT005,2024-10-30,2024-11-21,Open,139601.28
PO000254,SUP077,PLT005,2025-08-30,2025-09-18,Closed,1897396.31
PO000255,SUP009,PLT003,2025-06-26,2025-07-11,Closed,233603.74
PO000256,SUP044,PLT005,2026-04-23,2026-05-26,Closed,824345.14
PO000257,SUP037,PLT006,2026-05-27,2026-06-03,Closed,1327383.77
PO000258,SUP075,PLT006,2025-06-30,2025-08-13,Closed,484791.32
PO000259,SUP058,PLT005,2025-03-24,2025-04-09,Closed,870598.88
PO000260,SUP071,PLT005,2024-11-19,2024-12-17,Closed,1596016.6
PO000261,SUP025,PLT006,2024-11-05,2024-12-02,Closed,2502601.49
PO000262,SUP030,PLT004,2024-09-19,2024-10-20,Open,706859.53
PO000263,SUP091,PLT004,2026-01-20,2026-02-26,Closed,413735.58
PO000264,SUP064,PLT001,2025-02-22,2025-03-10,Open,945014.06
PO000265,SUP043,PLT001,2024-09-12,2024-10-26,Closed,3610686.29
PO000266,SUP013,PLT005,2025-07-18,2025-08-22,Delayed,949945.5
PO000267,SUP093,PLT002,2025-06-19,2025-06-26,Closed,342691.46
PO000268,SUP010,PLT004,2025-01-13,2025-01-29,Closed,114357.24
PO000269,SUP044,PLT005,2025-02-18,2025-03-13,Closed,615744.77
PO000270,SUP043,PLT006,2024-09-05,2024-09-17,Closed,447004.67
PO000271,SUP041,PLT006,2026-03-16,2026-04-16,Closed,529202.36
PO000272,SUP070,PLT001,2024-09-17,2024-10-25,Closed,315262.0
PO000273,SUP081,PLT006,2024-11-16,2024-12-08,Delayed,2590580.34
PO000274,SUP096,PLT001,2024-07-03,2024-07-24,Closed,0.0
PO000275,SUP098,PLT006,2025-02-13,2025-02-26,Closed,2816266.96
PO000276,SUP057,PLT002,2025-07-13,2025-07-26,Closed,869206.46
PO000277,SUP006,PLT003,2026-05-08,2026-05-16,Closed,224531.35
PO000278,SUP046,PLT003,2025-05-27,2025-06-21,Closed,0.0
PO000279,SUP068,PLT004,2025-10-02,2025-10-24,Closed,659322.54
PO000280,SUP022,PLT002,2024-07-11,2024-07-29,Open,317679.41
PO000281,SUP080,PLT006,2024-12-16,2025-01-16,Closed,521938.84
PO000282,SUP019,PLT002,2025-06-14,2025-07-28,Closed,29057.25
PO000283,SUP059,PLT003,2026-03-03,2026-03-26,Closed,210918.85
PO000284,SUP037,PLT006,2024-09-28,2024-11-03,Closed,226772.61
PO000285,SUP057,PLT003,2026-01-11,2026-01-22,Cancelled,435997.86
PO000286,SUP082,PLT004,2026-01-01,2026-01-27,Closed,262212.0
PO000287,SUP039,PLT002,2024-12-10,2025-01-15,Cancelled,787619.86
PO000288,SUP014,PLT002,2025-02-24,2025-04-02,Closed,80544.94
PO000289,SUP074,PLT003,2026-01-13,2026-02-11,Cancelled,927909.43
PO000290,SUP003,PLT006,2025-11-03,2025-11-28,Closed,0.0
PO000291,SUP073,PLT006,2025-11-28,2025-12-05,Closed,1669797.4
PO000292,SUP078,PLT006,2024-12-23,2025-01-02,Closed,187834.27
PO000293,SUP100,PLT002,2025-02-27,2025-03-24,Closed,1683726.85
PO000294,SUP029,PLT006,2024-08-09,2024-09-07,Closed,235647.39
PO000295,SUP087,PLT006,2024-09-27,2024-10-20,Closed,781712.14
PO000296,SUP081,PLT001,2024-11-11,2024-11-26,Delayed,735365.2
PO000297,SUP040,PLT004,2026-05-09,2026-05-18,Open,1707280.7
PO000298,SUP094,PLT002,2024-08-26,2024-09-25,Open,44446.05
PO000299,SUP042,PLT006,2025-05-01,2025-05-26,Closed,219587.2
PO000300,SUP017,PLT005,2026-02-27,2026-03-18,Closed,516228.98
PO000301,SUP068,PLT005,2025-01-01,2025-01-31,Delayed,3519697.2
PO000302,SUP033,PLT004,2026-03-07,2026-03-24,Delayed,412832.96
PO000303,SUP096,PLT003,2025-05-17,2025-06-11,Closed,758579.69
PO000304,SUP010,PLT002,2025-06-24,2025-07-30,Closed,1666468.15
PO000305,SUP087,PLT006,2026-02-09,2026-03-02,Closed,635489.74
PO000306,SUP072,PLT003,2026-06-08,2026-07-10,Open,113480.73
PO000307,SUP002,PLT003,2026-01-14,2026-02-15,Closed,1325097.52
PO000308,SUP048,PLT006,2024-09-11,2024-10-17,Closed,606745.39
PO000309,SUP075,PLT004,2025-04-17,2025-05-10,Closed,2230828.25
PO000310,SUP014,PLT006,2025-10-16,2025-11-15,Closed,501348.8
PO000311,SUP080,PLT005,2026-05-21,2026-05-29,Closed,939747.56
PO000312,SUP083,PLT001,2025-04-29,2025-05-20,Closed,91661.4
PO000313,SUP090,PLT003,2025-09-30,2025-11-05,Closed,1301172.94
PO000314,SUP018,PLT001,2024-08-05,2024-08-19,Delayed,87697.08
PO000315,SUP064,PLT001,2025-02-20,2025-03-18,Open,42720.12
PO000316,SUP018,PLT004,2025-05-24,2025-07-04,Closed,1505306.44
PO000317,SUP054,PLT005,2026-02-09,2026-03-22,Closed,1548352.63
PO000318,SUP054,PLT006,2026-05-21,2026-06-06,Open,514456.29
PO000319,SUP079,PLT004,2024-07-15,2024-08-22,Delayed,1183660.5
PO000320,SUP005,PLT006,2025-08-30,2025-09-23,Closed,634576.24
PO000321,SUP057,PLT002,2026-05-28,2026-07-02,Closed,521337.7
PO000322,SUP088,PLT003,2024-11-23,2024-12-06,Closed,1002382.96
PO000323,SUP008,PLT004,2024-12-02,2024-12-31,Closed,139945.56
PO000324,SUP059,PLT001,2025-06-24,2025-07-08,Closed,1188110.84
PO000325,SUP003,PLT001,2025-04-10,2025-05-25,Closed,153730.22
PO000326,SUP017,PLT005,2024-07-01,2024-07-23,Closed,266587.92
PO000327,SUP027,PLT005,2024-08-17,2024-09-28,Closed,98744.25
PO000328,SUP043,PLT002,2026-04-10,2026-05-01,Closed,2546.44
PO000329,SUP001,PLT003,2025-04-11,2025-05-26,Closed,2243398.61
PO000330,SUP017,PLT005,2025-09-28,2025-10-14,Closed,1106831.79
PO000331,SUP015,PLT006,2024-09-24,2024-10-12,Closed,888774.56
PO000332,SUP002,PLT003,2024-07-26,2024-08-10,Closed,1697668.21
PO000333,SUP076,PLT003,2024-11-24,2024-12-16,Open,1877920.01
PO000334,SUP007,PLT002,2026-06-13,2026-07-06,Closed,1674983.93
PO000335,SUP015,PLT006,2026-05-30,2026-07-09,Open,2331052.1
PO000336,SUP100,PLT003,2025-05-12,2025-06-16,Closed,240483.97
PO000337,SUP058,PLT005,2025-04-04,2025-04-17,Closed,783826.74
PO000338,SUP094,PLT006,2025-05-05,2025-05-14,Closed,330300.3
PO000339,SUP083,PLT001,2026-05-09,2026-06-14,Open,1356574.58
PO000340,SUP052,PLT004,2024-08-17,2024-09-23,Closed,1366200.18
PO000341,SUP092,PLT004,2025-02-08,2025-03-18,Open,2257607.77
PO000342,SUP042,PLT005,2024-08-15,2024-08-27,Open,365504.28
PO000343,SUP036,PLT005,2025-01-22,2025-02-06,Closed,99600.41
PO000344,SUP092,PLT003,2025-08-19,2025-09-30,Closed,1243863.42
PO000345,SUP068,PLT003,2025-09-17,2025-11-01,Closed,414968.31
PO000346,SUP056,PLT001,2025-08-28,2025-10-12,Closed,486704.35
PO000347,SUP084,PLT006,2026-05-06,2026-05-20,Closed,1729562.13
PO000348,SUP093,PLT002,2025-05-06,2025-06-17,Closed,551302.85
PO000349,SUP053,PLT003,2025-09-01,2025-09-22,Closed,29807.94
PO000350,SUP054,PLT006,2025-09-10,2025-10-12,Open,2441121.95
PO000351,SUP041,PLT006,2025-03-15,2025-04-18,Closed,844205.76
PO000352,SUP088,PLT004,2026-02-24,2026-03-12,Open,504975.74
PO000353,SUP012,PLT004,2025-08-07,2025-08-19,Open,965363.78
PO000354,SUP017,PLT005,2024-07-15,2024-08-14,Open,70211.16
PO000355,SUP072,PLT003,2026-05-06,2026-06-17,Closed,657006.93
PO000356,SUP046,PLT006,2025-07-17,2025-08-19,Delayed,1348005.51
PO000357,SUP093,PLT001,2025-09-03,2025-10-07,Delayed,2398907.46
PO000358,SUP040,PLT003,2026-03-30,2026-05-14,Open,379121.48
PO000359,SUP028,PLT002,2024-09-09,2024-10-18,Closed,1081991.21
PO000360,SUP014,PLT003,2025-12-30,2026-01-20,Closed,963261.08
PO000361,SUP015,PLT003,2025-05-29,2025-06-28,Closed,527802.21
PO000362,SUP072,PLT005,2024-11-22,2024-12-26,Closed,683307.38
PO000363,SUP004,PLT005,2025-12-11,2026-01-22,Delayed,292318.58
