DefectID,InspectionID,DefectCategoryID,RootCauseID,DefectQuantity,Severity,ScrapQuantity,ReworkQuantity,DefectCost
DFT000056,INS000206,DEF011,RC007,1,Minor,0,1,31.51
DFT000057,INS000207,DEF005,RC003,15,Minor,0,15,472.64
DFT000058,INS000208,DEF002,RC003,5,Minor,0,5,157.55
DFT000059,INS000211,DEF007,RC003,1,Minor,0,1,31.51
DFT000060,INS000212,DEF001,RC006,2,Major,2,0,225.07
DFT000061,INS000212,DEF002,RC006,3,Major,3,0,337.6
DFT000062,INS000220,DEF012,RC003,1,Major,0,1,39.39
DFT000063,INS000221,DEF001,RC003,2,Major,1,1,151.92
DFT000064,INS000227,DEF012,RC004,1,Minor,0,1,31.51
DFT000065,INS000232,DEF001,RC008,1,Minor,0,1,31.51
DFT000066,INS000239,DEF004,RC004,1,Major,1,0,112.53
DFT000067,INS000241,DEF002,RC005,12,Minor,0,12,378.11
DFT000068,INS000243,DEF009,RC006,1,Minor,1,0,90.03
DFT000069,INS000250,DEF005,RC001,1,Minor,0,1,31.51
DFT000070,INS000251,DEF007,RC010,1,Minor,0,1,31.51
DFT000071,INS000251,DEF005,RC001,1,Minor,0,1,31.51
DFT000072,INS000253,DEF012,RC004,12,Minor,0,12,378.11
DFT000073,INS000255,DEF010,RC006,1,Major,1,0,112.53
DFT000074,INS000255,DEF009,RC005,1,Minor,0,1,31.51
DFT000075,INS000261,DEF004,RC007,2,Major,0,2,78.77
DFT000076,INS000262,DEF005,RC007,1,Minor,0,1,31.51
DFT000077,INS000265,DEF010,RC006,4,Minor,0,4,126.04
DFT000078,INS000265,DEF009,RC008,1,Major,1,0,112.53
DFT000079,INS000276,DEF011,RC010,1,Minor,1,0,90.03
DFT000080,INS000280,DEF005,RC004,4,Minor,0,4,126.04
DFT000081,INS000284,DEF010,RC002,2,Minor,0,2,63.02
DFT000082,INS000293,DEF012,RC007,2,Minor,0,2,63.02
DFT000083,INS000294,DEF002,RC007,2,Minor,1,1,121.54
DFT000084,INS000298,DEF001,RC009,2,Major,0,2,78.77
DFT000085,INS000303,DEF008,RC009,2,Critical,2,0,315.09
DFT000086,INS000308,DEF012,RC009,4,Major,4,0,450.13
DFT000087,INS000309,DEF003,RC008,2,Minor,0,2,63.02
DFT000088,INS000319,DEF009,RC008,1,Minor,0,1,31.51
DFT000089,INS000327,DEF005,RC006,1,Major,0,1,39.39
DFT000090,INS000330,DEF004,RC007,1,Major,0,1,39.39
DFT000091,INS000335,DEF006,RC009,1,Minor,0,1,31.51
DFT000092,INS000355,DEF010,RC001,1,Minor,0,1,31.51
DFT000093,INS000356,DEF007,RC007,9,Major,8,1,939.65
DFT000094,INS000357,DEF004,RC008,4,Minor,0,4,126.04
DFT000095,INS000357,DEF007,RC006,6,Major,3,3,455.76
DFT000096,INS000358,DEF008,RC003,1,Major,0,1,39.39
DFT000097,INS000360,DEF007,RC003,1,Minor,0,1,31.51
DFT000098,INS000361,DEF008,RC006,2,Major,1,1,151.92
DFT000099,INS000365,DEF007,RC005,1,Minor,0,1,31.51
DFT000100,INS000369,DEF006,RC004,3,Minor,1,2,153.05
DFT000101,INS000373,DEF001,RC004,1,Major,0,1,39.39
DFT000102,INS000377,DEF008,RC002,1,Minor,0,1,31.51
DFT000103,INS000379,DEF010,RC010,1,Major,0,1,39.39
DFT000104,INS000380,DEF002,RC010,1,Major,1,0,112.53
DFT000105,INS000380,DEF007,RC004,1,Minor,0,1,31.51
DFT000106,INS000380,DEF004,RC002,3,Major,0,3,118.16
DFT000107,INS000381,DEF010,RC001,1,Minor,0,1,31.51
DFT000108,INS000385,DEF011,RC006,1,Major,1,0,112.53
DFT000109,INS000386,DEF006,RC008,1,Minor,0,1,31.51
DFT000110,INS000389,DEF005,RC010,2,Minor,0,2,63.02
DFT000111,INS000390,DEF006,RC004,1,Minor,0,1,31.51
DFT000112,INS000392,DEF010,RC010,1,Minor,0,1,31.51
DFT000113,INS000396,DEF008,RC004,1,Major,1,0,112.53
DFT000114,INS000398,DEF010,RC005,5,Minor,0,5,157.55
DFT000115,INS000399,DEF012,RC007,4,Minor,0,4,126.04
DFT000116,INS000401,DEF012,RC008,8,Major,1,7,388.24
DFT000117,INS000408,DEF007,RC004,2,Major,1,1,151.92
DFT000118,INS000412,DEF009,RC006,7,Critical,7,0,1102.83
DFT000119,INS000420,DEF012,RC008,1,Minor,0,1,31.51
DFT000120,INS000423,DEF006,RC002,1,Minor,0,1,31.51
DFT000121,INS000427,DEF010,RC009,1,Critical,1,0,157.55
DFT000122,INS000429,DEF006,RC003,3,Minor,0,3,94.53
DFT000123,INS000440,DEF001,RC009,5,Major,1,4,270.08
DFT000124,INS000443,DEF008,RC002,1,Minor,0,1,31.51
DFT000125,INS000445,DEF003,RC001,1,Critical,1,0,157.55
DFT000126,INS000458,DEF002,RC007,8,Minor,0,8,252.07
DFT000127,INS000459,DEF003,RC010,5,Minor,0,5,157.55
DFT000128,INS000460,DEF007,RC010,1,Major,1,0,112.53
DFT000129,INS000468,DEF008,RC005,2,Minor,0,2,63.02
DFT000130,INS000469,DEF012,RC002,1,Minor,0,1,31.51
DFT000131,INS000472,DEF004,RC003,5,Minor,0,5,157.55
DFT000132,INS000485,DEF010,RC008,3,Minor,0,3,94.53
DFT000133,INS000486,DEF008,RC002,11,Minor,0,11,346.6
DFT000134,INS000488,DEF010,RC004,7,Minor,0,7,220.57
DFT000135,INS000488,DEF003,RC005,1,Minor,0,1,31.51
DFT000136,INS000493,DEF012,RC010,10,Minor,0,10,315.09
DFT000137,INS000494,DEF007,RC005,2,Minor,0,2,63.02
DFT000138,INS000496,DEF012,RC006,2,Minor,0,2,63.02
DFT000139,INS000497,DEF010,RC010,1,Critical,1,0,157.55
DFT000140,INS000498,DEF003,RC008,5,Major,2,3,343.23
DFT000141,INS000500,DEF010,RC007,1,Critical,1,0,157.55
DFT000142,INS000504,DEF006,RC006,1,Major,1,0,112.53
DFT000143,INS000508,DEF008,RC005,4,Major,4,0,450.13
DFT000144,INS000512,DEF002,RC006,5,Minor,1,4,216.06
DFT000145,INS000513,DEF009,RC001,2,Minor,0,2,63.02
DFT000146,INS000514,DEF008,RC008,2,Minor,0,2,63.02
DFT000147,INS000515,DEF008,RC008,1,Minor,0,1,31.51
DFT000148,INS000515,DEF004,RC003,1,Minor,0,1,31.51
DFT000149,INS000524,DEF002,RC008,1,Minor,0,1,31.51
DFT000150,INS000534,DEF005,RC009,5,Minor,0,5,157.55
DFT000151,INS000534,DEF008,RC004,4,Minor,0,4,126.04
DFT000152,INS000536,DEF009,RC003,1,Minor,0,1,31.51
DFT000153,INS000536,DEF007,RC006,3,Major,2,1,264.45
DFT000154,INS000545,DEF010,RC010,6,Minor,0,6,189.06
DFT000155,INS000546,DEF006,RC006,9,Major,6,3,793.36
DFT000156,INS000549,DEF006,RC004,2,Minor,0,2,63.02
DFT000157,INS000552,DEF001,RC006,4,Major,3,1,376.99
DFT000158,INS000552,DEF007,RC003,1,Critical,1,0,157.55
DFT000159,INS000557,DEF010,RC006,1,Major,1,0,112.53
DFT000160,INS000561,DEF008,RC001,3,Minor,0,3,94.53
DFT000161,INS000563,DEF008,RC005,6,Minor,0,6,189.06
DFT000162,INS000566,DEF006,RC009,4,Critical,4,0,630.19
DFT000163,INS000568,DEF008,RC009,1,Minor,0,1,31.51
DFT000164,INS000572,DEF005,RC004,1,Minor,0,1,31.51
DFT000165,INS000585,DEF002,RC008,1,Major,0,1,39.39
DFT000166,INS000589,DEF001,RC005,3,Minor,0,3,94.53
DFT000167,INS000591,DEF010,RC003,6,Minor,0,6,189.06
DFT000168,INS000601,DEF011,RC004,4,Major,1,3,230.69
DFT000169,INS000602,DEF011,RC005,4,Minor,0,4,126.04
DFT000170,INS000603,DEF005,RC009,1,Minor,0,1,31.51
DFT000171,INS000610,DEF005,RC007,1,Minor,0,1,31.51
DFT000172,INS000611,DEF008,RC002,2,Minor,0,2,63.02
DFT000173,INS000611,DEF005,RC005,1,Critical,1,0,157.55
DFT000174,INS000611,DEF005,RC001,1,Major,1,0,112.53
DFT000175,INS000618,DEF005,RC004,1,Minor,0,1,31.51
DFT000176,INS000619,DEF012,RC003,1,Major,0,1,39.39
DFT000177,INS000627,DEF008,RC001,5,Minor,0,5,157.55
DFT000178,INS000629,DEF006,RC007,1,Minor,0,1,31.51
DFT000179,INS000629,DEF006,RC009,1,Major,1,0,112.53
DFT000180,INS000630,DEF008,RC005,6,Major,3,3,455.76
DFT000181,INS000630,DEF002,RC003,2,Major,2,0,225.07
DFT000182,INS000631,DEF007,RC009,1,Minor,0,1,31.51
DFT000183,INS000640,DEF002,RC008,3,Major,2,1,264.45
DFT000184,INS000641,DEF011,RC006,1,Major,1,0,112.53
DFT000185,INS000642,DEF009,RC006,10,Minor,0,10,315.09
DFT000186,INS000656,DEF012,RC005,4,Minor,0,4,126.04
DFT000187,INS000656,DEF001,RC005,1,Minor,0,1,31.51
DFT000188,INS000662,DEF007,RC008,3,Major,3,0,337.6
DFT000189,INS000665,DEF012,RC003,1,Major,1,0,112.53
DFT000190,INS000670,DEF005,RC001,6,Minor,0,6,189.06
DFT000191,INS000688,DEF006,RC002,3,Minor,1,2,153.05
DFT000192,INS000702,DEF007,RC005,1,Critical,1,0,157.55
DFT000193,INS000703,DEF004,RC010,1,Minor,0,1,31.51
DFT000194,INS000704,DEF010,RC004,1,Major,0,1,39.39
DFT000195,INS000708,DEF004,RC006,1,Major,0,1,39.39
DFT000196,INS000714,DEF003,RC003,5,Minor,0,5,157.55
DFT000197,INS000721,DEF001,RC003,1,Minor,0,1,31.51
DFT000198,INS000722,DEF001,RC003,3,Minor,0,3,94.53
DFT000199,INS000734,DEF012,RC002,1,Minor,0,1,31.51
DFT000200,INS000738,DEF008,RC009,2,Critical,1,1,212.69
DFT000201,INS000740,DEF011,RC009,1,Minor,1,0,90.03
DFT000202,INS000742,DEF008,RC007,7,Major,7,0,787.73
DFT000203,INS000744,DEF008,RC002,1,Minor,0,1,31.51
DFT000204,INS000746,DEF010,RC010,2,Minor,0,2,63.02
DFT000205,INS000750,DEF009,RC010,4,Minor,0,4,126.04
DFT000206,INS000753,DEF011,RC009,1,Minor,0,1,31.51
DFT000207,INS000757,DEF008,RC007,4,Major,2,2,303.84
DFT000208,INS000759,DEF011,RC005,1,Critical,1,0,157.55
DFT000209,INS000761,DEF002,RC002,2,Minor,0,2,63.02
DFT000210,INS000770,DEF009,RC001,3,Major,3,0,337.6
DFT000211,INS000770,DEF006,RC007,1,Critical,1,0,157.55
DFT000212,INS000774,DEF010,RC009,2,Minor,0,2,63.02
DFT000213,INS000779,DEF006,RC009,6,Minor,0,6,189.06
DFT000214,INS000779,DEF004,RC007,1,Minor,0,1,31.51
DFT000215,INS000780,DEF001,RC003,3,Major,2,1,264.45
DFT000216,INS000783,DEF006,RC001,1,Major,1,0,112.53
DFT000217,INS000795,DEF012,RC001,1,Major,0,1,39.39
DFT000218,INS000800,DEF008,RC006,1,Minor,0,1,31.51
DFT000219,INS000802,DEF010,RC010,1,Major,0,1,39.39
DFT000220,INS000802,DEF003,RC010,1,Major,1,0,112.53
DFT000221,INS000806,DEF007,RC008,2,Minor,0,2,63.02
DFT000222,INS000807,DEF006,RC007,1,Minor,0,1,31.51
DFT000223,INS000809,DEF011,RC005,1,Minor,1,0,90.03
DFT000224,INS000812,DEF004,RC005,1,Major,1,0,112.53
DFT000225,INS000815,DEF002,RC001,2,Major,0,2,78.77
DFT000226,INS000825,DEF009,RC004,9,Minor,0,9,283.58
DFT000227,INS000827,DEF007,RC001,2,Minor,0,2,63.02
DFT000228,INS000828,DEF010,RC007,5,Minor,0,5,157.55
DFT000229,INS000830,DEF007,RC001,3,Minor,0,3,94.53
DFT000230,INS000832,DEF012,RC006,1,Minor,0,1,31.51
DFT000231,INS000834,DEF007,RC009,1,Minor,0,1,31.51
DFT000232,INS000836,DEF006,RC003,1,Minor,0,1,31.51
DFT000233,INS000837,DEF006,RC006,1,Minor,0,1,31.51
DFT000234,INS000844,DEF010,RC003,1,Minor,0,1,31.51
DFT000235,INS000847,DEF010,RC010,1,Major,1,0,112.53
DFT000236,INS000848,DEF011,RC006,1,Minor,0,1,31.51
DFT000237,INS000850,DEF005,RC010,1,Minor,0,1,31.51
DFT000238,INS000871,DEF001,RC001,3,Major,0,3,118.16
DFT000239,INS000890,DEF002,RC010,10,Minor,0,10,315.09
DFT000240,INS000891,DEF012,RC001,4,Major,4,0,450.13
DFT000241,INS000895,DEF006,RC010,1,Minor,1,0,90.03
DFT000242,INS000907,DEF006,RC002,9,Minor,0,9,283.58
DFT000243,INS000909,DEF008,RC009,5,Minor,0,5,157.55
DFT000244,INS000921,DEF007,RC007,2,Major,0,2,78.77
DFT000245,INS000922,DEF011,RC006,2,Minor,0,2,63.02
DFT000246,INS000922,DEF007,RC005,5,Major,5,0,562.67
DFT000247,INS000923,DEF010,RC003,1,Minor,0,1,31.51
DFT000248,INS000931,DEF005,RC007,3,Minor,0,3,94.53
DFT000249,INS000931,DEF005,RC009,4,Minor,0,4,126.04
DFT000250,INS000932,DEF012,RC009,1,Minor,0,1,31.51
DFT000251,INS000933,DEF006,RC005,1,Critical,1,0,157.55
DFT000252,INS000935,DEF008,RC004,1,Critical,1,0,157.55
DFT000253,INS000935,DEF002,RC005,1,Minor,0,1,31.51
DFT000254,INS000941,DEF009,RC001,6,Major,4,2,528.91
DFT000255,INS000948,DEF007,RC003,6,Minor,0,6,189.06
DFT000256,INS000949,DEF003,RC008,1,Minor,0,1,31.51
DFT000257,INS000952,DEF008,RC010,3,Major,3,0,337.6
DFT000258,INS000955,DEF004,RC005,1,Major,0,1,39.39
DFT000259,INS000959,DEF010,RC008,4,Major,3,1,376.99
DFT000260,INS000961,DEF007,RC003,1,Major,0,1,39.39
DFT000261,INS000962,DEF001,RC008,1,Minor,0,1,31.51
DFT000262,INS000964,DEF002,RC005,1,Major,1,0,112.53
DFT000263,INS000964,DEF008,RC009,2,Major,0,2,78.77
DFT000264,INS000972,DEF004,RC008,6,Critical,6,0,945.28
DFT000265,INS000972,DEF001,RC007,3,Minor,1,2,153.05
DFT000266,INS000978,DEF001,RC006,1,Major,1,0,112.53
DFT000267,INS000980,DEF003,RC001,2,Major,1,1,151.92
DFT000268,INS000981,DEF003,RC008,4,Minor,0,4,126.04
DFT000269,INS000984,DEF004,RC003,5,Critical,5,0,787.73
DFT000270,INS000987,DEF005,RC004,1,Minor,0,1,31.51
DFT000271,INS000991,DEF010,RC008,1,Minor,0,1,31.51
DFT000272,INS001002,DEF001,RC009,5,Minor,0,5,157.55
DFT000273,INS001003,DEF010,RC006,4,Minor,0,4,126.04
DFT000274,INS001008,DEF009,RC006,1,Critical,1,0,157.55
DFT000275,INS001009,DEF008,RC001,4,Critical,3,1,527.78
DFT000276,INS001014,DEF006,RC002,6,Minor,0,6,189.06
DFT000277,INS001015,DEF010,RC006,1,Minor,0,1,31.51
DFT000278,INS001020,DEF003,RC008,8,Minor,0,8,252.07
DFT000279,INS001020,DEF002,RC008,1,Minor,0,1,31.51
DFT000280,INS001025,DEF001,RC006,1,Minor,1,0,90.03
DFT000281,INS001026,DEF005,RC001,2,Minor,0,2,63.02
DFT000282,INS001030,DEF011,RC006,5,Minor,0,5,157.55
DFT000283,INS001034,DEF012,RC008,2,Minor,0,2,63.02
DFT000284,INS001036,DEF006,RC009,2,Major,2,0,225.07
DFT000285,INS001037,DEF007,RC010,1,Minor,0,1,31.51
DFT000286,INS001040,DEF011,RC005,5,Minor,0,5,157.55
DFT000287,INS001045,DEF008,RC006,2,Minor,0,2,63.02
DFT000288,INS001049,DEF007,RC005,1,Minor,0,1,31.51
DFT000289,INS001057,DEF012,RC003,1,Minor,0,1,31.51
DFT000290,INS001062,DEF001,RC003,1,Minor,0,1,31.51
DFT000291,INS001062,DEF006,RC007,1,Minor,0,1,31.51
DFT000292,INS001078,DEF006,RC008,1,Minor,0,1,31.51
DFT000293,INS001078,DEF007,RC006,1,Minor,0,1,31.51
DFT000294,INS001081,DEF008,RC009,1,Major,0,1,39.39
DFT000295,INS001082,DEF005,RC008,1,Critical,1,0,157.55
DFT000296,INS001083,DEF008,RC004,1,Minor,0,1,31.51
DFT000297,INS001092,DEF012,RC008,2,Major,1,1,151.92
DFT000298,INS001095,DEF012,RC002,2,Major,0,2,78.77
DFT000299,INS001097,DEF012,RC003,3,Minor,0,3,94.53
DFT000300,INS001099,DEF003,RC004,8,Minor,0,8,252.07
DFT000301,INS001102,DEF009,RC003,1,Minor,0,1,31.51
DFT000302,INS001103,DEF008,RC009,7,Major,1,6,348.85
DFT000303,INS001104,DEF006,RC002,4,Minor,0,4,126.04
DFT000304,INS001113,DEF009,RC010,2,Major,0,2,78.77
DFT000305,INS001114,DEF001,RC002,5,Minor,0,5,157.55
DFT000306,INS001123,DEF012,RC004,1,Critical,1,0,157.55
DFT000307,INS001128,DEF005,RC004,1,Minor,0,1,31.51
DFT000308,INS001130,DEF009,RC003,1,Minor,0,1,31.51
DFT000309,INS001133,DEF006,RC010,1,Major,0,1,39.39
DFT000310,INS001133,DEF002,RC001,1,Major,1,0,112.53
DFT000311,INS001136,DEF001,RC008,18,Minor,1,17,625.69
DFT000312,INS001137,DEF011,RC007,2,Minor,0,2,63.02
DFT000313,INS001140,DEF007,RC008,2,Minor,0,2,63.02
DFT000314,INS001142,DEF012,RC006,1,Critical,1,0,157.55
DFT000315,INS001144,DEF009,RC009,1,Minor,0,1,31.51
DFT000316,INS001146,DEF004,RC003,1,Minor,0,1,31.51
DFT000317,INS001156,DEF007,RC004,1,Major,1,0,112.53
DFT000318,INS001158,DEF003,RC008,1,Minor,0,1,31.51
DFT000319,INS001159,DEF007,RC009,2,Critical,1,1,212.69
DFT000320,INS001162,DEF001,RC001,3,Minor,0,3,94.53
DFT000321,INS001164,DEF008,RC005,5,Minor,0,5,157.55
DFT000322,INS001177,DEF005,RC006,2,Minor,0,2,63.02
DFT000323,INS001178,DEF004,RC006,5,Minor,0,5,157.55
DFT000324,INS001180,DEF009,RC005,10,Major,1,9,467.01
DFT000325,INS001185,DEF002,RC007,1,Major,1,0,112.53
DFT000326,INS001194,DEF006,RC003,1,Minor,0,1,31.51
DFT000327,INS001201,DEF001,RC003,3,Major,3,0,337.6
DFT000328,INS001207,DEF009,RC003,3,Critical,2,1,370.23
DFT000329,INS001224,DEF010,RC005,3,Minor,0,3,94.53
DFT000330,INS001227,DEF010,RC005,1,Major,1,0,112.53
DFT000331,INS001229,DEF002,RC007,5,Minor,0,5,157.55
DFT000332,INS001230,DEF011,RC001,1,Minor,0,1,31.51
DFT000333,INS001231,DEF010,RC010,2,Major,2,0,225.07
DFT000334,INS001231,DEF008,RC003,3,Minor,0,3,94.53
DFT000335,INS001234,DEF003,RC004,1,Minor,0,1,31.51
DFT000336,INS001234,DEF004,RC001,1,Minor,0,1,31.51
DFT000337,INS001249,DEF007,RC009,5,Major,5,0,562.67
DFT000338,INS001256,DEF012,RC003,1,Minor,1,0,90.03
DFT000339,INS001262,DEF007,RC006,2,Minor,0,2,63.02
DFT000340,INS001263,DEF011,RC005,1,Minor,0,1,31.51
DFT000341,INS001270,DEF004,RC005,1,Major,1,0,112.53
DFT000342,INS001271,DEF006,RC009,1,Minor,0,1,31.51
DFT000343,INS001279,DEF007,RC006,1,Minor,0,1,31.51
DFT000344,INS001281,DEF006,RC008,2,Major,0,2,78.77
DFT000345,INS001284,DEF009,RC005,1,Minor,0,1,31.51
DFT000346,INS001288,DEF004,RC001,17,Minor,0,17,535.66
DFT000347,INS001293,DEF006,RC008,2,Major,0,2,78.77
DFT000348,INS001294,DEF009,RC003,7,Major,7,0,787.73
DFT000349,INS001295,DEF004,RC005,11,Minor,0,11,346.6
DFT000350,INS001297,DEF011,RC010,1,Minor,0,1,31.51
DFT000351,INS001301,DEF003,RC007,1,Critical,1,0,157.55
DFT000352,INS001301,DEF007,RC008,1,Critical,1,0,157.55
DFT000353,INS001307,DEF001,RC005,5,Minor,0,5,157.55
DFT000354,INS001310,DEF008,RC009,1,Major,0,1,39.39
DFT000355,INS001311,DEF008,RC005,1,Major,1,0,112.53
DFT000356,INS001311,DEF003,RC008,1,Major,0,1,39.39
DFT000357,INS001322,DEF005,RC010,1,Minor,0,1,31.51
DFT000358,INS001323,DEF007,RC009,2,Minor,0,2,63.02
DFT000359,INS001325,DEF003,RC008,2,Critical,1,1,212.69
DFT000360,INS001335,DEF004,RC008,1,Critical,1,0,157.55
DFT000361,INS001343,DEF010,RC001,2,Major,2,0,225.07
DFT000362,INS001346,DEF011,RC002,1,Minor,0,1,31.51
DFT000363,INS001349,DEF012,RC005,1,Minor,0,1,31.51
DFT000364,INS001350,DEF004,RC004,5,Minor,0,5,157.55
DFT000365,INS001351,DEF006,RC007,2,Major,2,0,225.07
DFT000366,INS001354,DEF004,RC010,1,Minor,0,1,31.51
DFT000367,INS001354,DEF006,RC002,1,Minor,0,1,31.51
DFT000368,INS001355,DEF010,RC009,1,Minor,0,1,31.51
DFT000369,INS001361,DEF011,RC004,2,Minor,0,2,63.02
DFT000370,INS001366,DEF008,RC003,1,Minor,0,1,31.51
DFT000371,INS001371,DEF005,RC001,1,Minor,0,1,31.51
DFT000372,INS001378,DEF002,RC001,2,Minor,0,2,63.02
DFT000373,INS001382,DEF002,RC008,1,Minor,0,1,31.51
DFT000374,INS001382,DEF003,RC007,3,Critical,2,1,370.23
DFT000375,INS001382,DEF008,RC007,1,Minor,1,0,90.03
DFT000376,INS001389,DEF003,RC006,2,Minor,0,2,63.02
DFT000377,INS001389,DEF009,RC003,4,Major,0,4,157.55
DFT000378,INS001390,DEF008,RC009,2,Minor,0,2,63.02
DFT000379,INS001391,DEF006,RC003,1,Minor,0,1,31.51
DFT000380,INS001400,DEF001,RC007,1,Minor,0,1,31.51
DFT000381,INS001400,DEF010,RC001,1,Minor,0,1,31.51
DFT000382,INS001411,DEF012,RC001,4,Minor,0,4,126.04
DFT000383,INS001414,DEF001,RC003,5,Critical,3,2,582.92
DFT000384,INS001419,DEF012,RC010,1,Minor,0,1,31.51
DFT000385,INS001432,DEF004,RC005,2,Critical,1,1,212.69
DFT000386,INS001432,DEF007,RC005,2,Minor,0,2,63.02
DFT000387,INS001433,DEF003,RC007,1,Minor,0,1,31.51
DFT000388,INS001434,DEF007,RC009,1,Major,1,0,112.53
DFT000389,INS001439,DEF007,RC003,2,Minor,0,2,63.02
DFT000390,INS001447,DEF003,RC008,1,Minor,1,0,90.03
DFT000391,INS001447,DEF009,RC009,1,Minor,0,1,31.51
DFT000392,INS001449,DEF002,RC008,3,Minor,0,3,94.53
DFT000393,INS001458,DEF005,RC007,1,Major,0,1,39.39
DFT000394,INS001463,DEF010,RC009,1,Minor,0,1,31.51
DFT000395,INS001464,DEF001,RC004,2,Critical,1,1,212.69
DFT000396,INS001465,DEF008,RC004,1,Minor,0,1,31.51
DFT000397,INS001466,DEF005,RC007,1,Minor,0,1,31.51
DFT000398,INS001468,DEF009,RC008,2,Minor,1,1,121.54
DFT000399,INS001472,DEF006,RC004,2,Minor,0,2,63.02
DFT000400,INS001479,DEF012,RC003,1,Minor,0,1,31.51
DFT000401,INS001487,DEF007,RC005,1,Minor,0,1,31.51
DFT000402,INS001489,DEF004,RC008,9,Major,5,4,720.21
DFT000403,INS001499,DEF008,RC008,4,Minor,0,4,126.04
DFT000404,INS001501,DEF012,RC009,8,Minor,0,8,252.07
DFT000405,INS001503,DEF001,RC009,1,Major,0,1,39.39
DFT000406,INS001503,DEF011,RC001,1,Minor,0,1,31.51
DFT000407,INS001505,DEF012,RC003,1,Minor,0,1,31.51
DFT000408,INS001512,DEF011,RC010,8,Major,0,8,315.09
DFT000409,INS001515,DEF009,RC007,1,Minor,0,1,31.51
DFT000410,INS001517,DEF005,RC001,2,Major,0,2,78.77
DFT000411,INS001523,DEF002,RC009,1,Minor,0,1,31.51
